AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,RUFD_MIN,RUFD_Max,RUFD_Mean,RUFD_AVG,RUFD_STD,RUFD_MED,RUFD_RMSE,RUFD_MAE,RUFD_AB_MD,RUFD_AB_MN,RUFD_N,RUFD_LE90
brazil,S08PW038C,COP,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,99.11,-8.61,9.66,0.09,0.45,0.70,0.09,0.71,0.46,0.30,0.09,128518,0.98
brazil,S08PW038C,COP,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,99.11,-12.23,9.65,-0.16,0.42,0.68,-0.13,0.70,0.43,0.28,0.16,128518,0.94
brazil,S08PW038C,SRTM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,99.11,-10.81,7.64,0.51,0.79,1.11,0.60,1.23,0.95,0.79,0.51,128518,1.88
brazil,S08PW038C,SRTM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,99.11,-12.01,8.82,0.26,0.78,1.10,0.33,1.14,0.83,0.64,0.26,128518,1.71
brazil,S08PW038C,ALOS,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_area,DTM,99.11,-6.67,13.95,0.31,0.47,0.77,0.26,0.83,0.53,0.36,0.31,128162,1.17
brazil,S08PW038C,ALOS,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_area,DSM,99.11,-11.77,13.76,0.07,0.48,0.76,0.04,0.76,0.48,0.33,0.07,128162,1.02
brazil,S08PW038C,NASA,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,99.11,-9.69,7.10,0.46,0.80,1.11,0.56,1.20,0.93,0.78,0.46,128518,1.83
brazil,S08PW038C,NASA,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,99.11,-11.96,6.88,0.21,0.78,1.10,0.29,1.12,0.82,0.64,0.21,128518,1.68
brazil,S08PW038C,ASTER,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,99.11,-14.61,12.78,1.72,1.14,1.57,1.76,2.33,1.98,1.83,1.72,128518,3.55
brazil,S08PW038C,ASTER,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,99.11,-14.61,12.67,1.47,1.11,1.54,1.50,2.13,1.76,1.59,1.47,128518,3.28
brazil,S08PW038C,FABDEM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,99.11,-8.03,10.84,-0.05,0.51,0.76,-0.05,0.76,0.51,0.35,0.05,128518,1.11
brazil,S08PW038C,FABDEM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,99.11,-12.44,10.83,-0.29,0.51,0.77,-0.28,0.83,0.57,0.42,0.29,128518,1.21
brazil,S08PW038D,COP,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,99.45,-18.07,17.30,0.01,1.05,1.62,0.18,1.62,1.05,0.67,0.01,128877,2.41
brazil,S08PW038D,COP,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,99.45,-18.07,18.21,-0.10,1.01,1.60,0.02,1.60,1.00,0.57,0.10,128877,2.41
brazil,S08PW038D,SRTM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,99.45,-19.50,52.29,-0.30,1.78,2.60,0.15,2.61,1.75,1.26,0.30,128877,3.69
brazil,S08PW038D,SRTM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,99.45,-19.81,52.10,-0.41,1.73,2.55,0.01,2.59,1.69,1.16,0.41,128877,3.7
brazil,S08PW038D,ALOS,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_area,DTM,99.45,-14.84,11.53,0.09,0.74,1.11,0.20,1.12,0.76,0.51,0.09,128520,1.71
brazil,S08PW038D,ALOS,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_area,DSM,99.45,-14.84,11.54,-0.02,0.70,1.05,0.03,1.06,0.70,0.46,0.02,128520,1.61
brazil,S08PW038D,NASA,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,99.45,-19.45,46.60,-0.37,1.79,2.54,0.08,2.57,1.75,1.27,0.37,128877,3.73
brazil,S08PW038D,NASA,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,99.45,-20.16,46.47,-0.48,1.74,2.49,-0.04,2.54,1.70,1.17,0.48,128877,3.75
brazil,S08PW038D,ASTER,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,99.45,-28.66,21.83,0.71,2.21,3.03,1.28,3.12,2.39,2.04,0.71,128877,4.5
brazil,S08PW038D,ASTER,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,99.45,-28.66,22.19,0.60,2.15,2.98,1.13,3.04,2.30,1.91,0.60,128877,4.44
brazil,S08PW038D,FABDEM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,99.45,-18.31,18.27,-0.15,1.09,1.65,0.01,1.66,1.08,0.67,0.15,128877,2.5
brazil,S08PW038D,FABDEM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,99.45,-18.31,19.18,-0.26,1.07,1.65,-0.15,1.67,1.08,0.65,0.26,128877,2.54
brazil,S08QW038C,COP,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,99.11,-18.66,15.67,0.03,0.59,1.07,0.06,1.07,0.59,0.34,0.03,128518,1.27
brazil,S08QW038C,COP,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,99.11,-19.29,14.85,-0.20,0.56,1.00,-0.15,1.02,0.57,0.34,0.20,128518,1.23
brazil,S08QW038C,SRTM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,99.11,-16.62,28.60,0.29,0.89,1.43,0.36,1.46,0.95,0.68,0.29,128518,1.94
brazil,S08QW038C,SRTM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,99.11,-17.20,28.76,0.06,0.90,1.41,0.11,1.41,0.90,0.63,0.06,128518,1.86
brazil,S08QW038C,ALOS,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_area,DTM,99.11,-7.93,18.68,0.34,0.56,0.83,0.24,0.90,0.60,0.39,0.34,128162,1.41
brazil,S08QW038C,ALOS,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_area,DSM,99.11,-7.93,18.07,0.10,0.51,0.74,0.07,0.74,0.51,0.37,0.10,128162,1.11
brazil,S08QW038C,NASA,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,99.11,-19.76,48.73,0.23,0.90,1.55,0.31,1.57,0.94,0.67,0.23,128518,1.9
brazil,S08QW038C,NASA,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,99.11,-20.35,49.57,0.00,0.91,1.54,0.06,1.54,0.91,0.63,0.00,128518,1.85
brazil,S08QW038C,ASTER,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,99.11,-20.78,18.55,1.11,1.12,1.69,1.17,2.02,1.56,1.32,1.11,128518,2.99
brazil,S08QW038C,ASTER,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,99.11,-21.36,17.02,0.87,1.12,1.65,0.91,1.87,1.39,1.12,0.87,128518,2.78
brazil,S08QW038C,FABDEM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,99.11,-19.66,17.15,-0.09,0.64,1.10,-0.07,1.10,0.64,0.41,0.09,128518,1.35
brazil,S08QW038C,FABDEM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,99.11,-19.66,16.33,-0.32,0.67,1.09,-0.28,1.13,0.72,0.49,0.32,128518,1.51
brazil,S08QW038D,COP,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,99.45,-5.22,6.81,0.13,0.36,0.49,0.11,0.51,0.37,0.27,0.13,128877,0.8
brazil,S08QW038D,COP,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,99.45,-5.58,6.79,0.07,0.33,0.46,0.05,0.46,0.33,0.24,0.07,128877,0.72
brazil,S08QW038D,SRTM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,99.45,-7.37,7.78,0.42,0.62,0.80,0.43,0.91,0.71,0.60,0.42,128877,1.46
brazil,S08QW038D,SRTM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,99.45,-7.55,7.76,0.35,0.61,0.81,0.37,0.88,0.69,0.57,0.35,128877,1.42
brazil,S08QW038D,ALOS,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_area,DTM,99.45,-4.28,9.23,0.27,0.40,0.59,0.19,0.65,0.43,0.29,0.27,128520,0.97
brazil,S08QW038D,ALOS,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_area,DSM,99.45,-4.28,8.45,0.21,0.40,0.59,0.15,0.62,0.42,0.29,0.21,128520,0.93
brazil,S08QW038D,NASA,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,99.45,-7.20,7.66,0.37,0.62,0.81,0.40,0.89,0.70,0.59,0.37,128877,1.43
brazil,S08QW038D,NASA,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,99.45,-7.22,7.63,0.31,0.62,0.81,0.33,0.86,0.68,0.56,0.31,128877,1.38
brazil,S08QW038D,ASTER,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,99.45,-7.99,20.23,1.67,0.95,1.31,1.62,2.12,1.77,1.64,1.67,128877,3.19
brazil,S08QW038D,ASTER,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,99.45,-8.02,20.18,1.61,0.95,1.31,1.56,2.07,1.72,1.58,1.61,128877,3.13
brazil,S08QW038D,FABDEM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,99.45,-4.81,7.08,-0.07,0.42,0.57,-0.08,0.57,0.43,0.33,0.07,128877,0.92
brazil,S08QW038D,FABDEM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,99.45,-5.17,7.06,-0.14,0.42,0.57,-0.14,0.59,0.44,0.34,0.14,128877,0.93
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DTM,87.18,-32.44,53.79,-0.00,1.38,2.30,-0.03,2.30,1.38,0.83,0.00,113481,3.17
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-81.18,60.36,-1.14,2.88,5.67,-0.23,5.78,2.70,1.21,1.14,130321,5.9
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DTM,91.08,-98.62,85.69,-1.72,3.90,7.19,-0.50,7.39,3.72,1.65,1.72,118593,8.61
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-120.94,85.69,-4.64,7.43,11.32,-1.60,12.23,7.05,3.36,4.64,130321,18.54
la_palma,N28UW018B,COP,md_dsm_5m_1sec_point,DSM,87.18,-120.94,54.45,-0.50,1.30,2.18,-0.45,2.24,1.37,0.90,0.50,113473,2.95
la_palma,N28VW018B,COP,md_dsm_5m_1sec_point,DSM,100.00,-120.94,57.94,-1.64,2.87,5.92,-0.52,6.14,2.67,1.06,1.64,130321,5.78
la_palma,N28XW018A,COP,md_dsm_5m_1sec_point,DSM,91.08,-120.94,89.30,-2.21,3.86,7.17,-0.95,7.50,3.80,1.74,2.21,118601,8.71
la_palma,N28XW018B,COP,md_dsm_5m_1sec_point,DSM,100.00,-124.30,89.30,-5.49,7.64,11.54,-2.16,12.78,7.39,3.44,5.49,130321,19.77
la_palma,N28UW018B,SRTM,md_dtm-2m_1sec_point,DTM,87.18,-30.90,127.79,0.85,2.52,4.26,0.62,4.35,2.58,1.76,0.85,113481,5.56
la_palma,N28VW018B,SRTM,md_dtm-2m_1sec_point,DTM,100.00,-78.37,127.79,-1.07,3.53,6.05,-0.48,6.14,3.52,1.89,1.07,130321,8.16
la_palma,N28XW018A,SRTM,md_dtm-2m_1sec_point,DTM,91.08,-99.42,127.79,-2.06,4.44,7.58,-1.42,7.85,4.61,2.79,2.06,118593,9.98
la_palma,N28XW018B,SRTM,md_dtm-2m_1sec_point,DTM,100.00,-120.38,127.79,-3.34,7.74,11.83,-1.50,12.29,7.68,4.44,3.34,130321,18.73
la_palma,N28UW018B,SRTM,md_dsm_5m_1sec_point,DSM,87.18,-120.38,126.88,0.35,2.46,4.20,0.14,4.22,2.45,1.67,0.35,113473,5.27
la_palma,N28VW018B,SRTM,md_dsm_5m_1sec_point,DSM,100.00,-120.38,126.88,-1.56,3.59,6.27,-0.87,6.46,3.64,1.94,1.56,130321,8.29
la_palma,N28XW018A,SRTM,md_dsm_5m_1sec_point,DSM,91.08,-120.38,126.88,-2.55,4.38,7.56,-1.93,7.98,4.73,2.94,2.55,118601,10.12
la_palma,N28XW018B,SRTM,md_dsm_5m_1sec_point,DSM,100.00,-123.88,126.88,-4.20,7.93,12.06,-2.19,12.77,8.00,4.63,4.20,130321,19.58
la_palma,N28UW018B,ALOS,md_dtm-2m_1sec_area,DTM,87.18,-15.92,62.89,0.58,1.29,2.53,0.30,2.59,1.30,0.77,0.58,113577,2.73
la_palma,N28VW018B,ALOS,md_dtm-2m_1sec_area,DTM,100.00,-84.96,67.80,-0.76,2.59,4.88,-0.23,4.94,2.53,1.18,0.76,130321,5.93
la_palma,N28XW018A,ALOS,md_dtm-2m_1sec_area,DTM,91.08,-84.96,102.31,-0.45,2.26,5.04,-0.19,5.06,2.25,1.03,0.45,118528,4.68
la_palma,N28XW018B,ALOS,md_dtm-2m_1sec_area,DTM,100.00,-120.99,102.31,-1.59,4.57,8.42,-0.04,8.56,4.21,1.74,1.59,130321,10.09
la_palma,N28UW018B,ALOS,md_dsm_5m_1sec_area,DSM,87.18,-120.99,62.89,0.08,1.33,2.56,-0.08,2.56,1.32,0.86,0.08,113559,2.7
la_palma,N28VW018B,ALOS,md_dsm_5m_1sec_area,DSM,100.00,-120.99,71.84,-1.26,2.57,5.12,-0.57,5.27,2.54,1.17,1.26,130321,5.72
la_palma,N28XW018A,ALOS,md_dsm_5m_1sec_area,DSM,91.08,-120.99,92.20,-0.94,2.32,5.08,-0.58,5.16,2.38,1.21,0.94,118565,4.68
la_palma,N28XW018B,ALOS,md_dsm_5m_1sec_area,DSM,100.00,-125.23,92.20,-2.44,4.64,8.50,-0.58,8.84,4.25,1.73,2.44,130321,10.38
la_palma,N28UW018B,NASA,md_dtm-2m_1sec_point,DTM,87.18,-32.06,86.63,0.47,2.39,3.70,0.36,3.73,2.41,1.65,0.47,113481,5.3
la_palma,N28VW018B,NASA,md_dtm-2m_1sec_point,DTM,100.00,-76.76,92.73,-1.26,3.50,6.04,-0.73,6.17,3.54,1.93,1.26,130321,8.24
la_palma,N28XW018A,NASA,md_dtm-2m_1sec_point,DTM,91.08,-100.47,105.00,-2.84,4.32,7.24,-2.07,7.78,4.71,2.95,2.84,118593,10.2
la_palma,N28XW018B,NASA,md_dtm-2m_1sec_point,DTM,100.00,-115.70,105.00,-3.10,7.34,11.44,-1.68,11.86,7.41,4.38,3.10,130321,17.71
la_palma,N28UW018B,NASA,md_dsm_5m_1sec_point,DSM,87.18,-115.70,85.72,-0.03,2.35,3.64,-0.12,3.64,2.35,1.63,0.03,113473,5.15
la_palma,N28VW018B,NASA,md_dsm_5m_1sec_point,DSM,100.00,-115.70,87.26,-1.75,3.54,6.22,-1.11,6.46,3.69,2.04,1.75,130321,8.32
la_palma,N28XW018A,NASA,md_dsm_5m_1sec_point,DSM,91.08,-115.70,107.67,-3.33,4.28,7.26,-2.60,7.99,4.94,3.23,3.33,118601,10.44
la_palma,N28XW018B,NASA,md_dsm_5m_1sec_point,DSM,100.00,-118.25,107.67,-3.96,7.52,11.65,-2.34,12.30,7.73,4.59,3.96,130321,18.49
la_palma,N28UW018B,ASTER,md_dtm-2m_1sec_point,DTM,87.18,-38.12,109.39,1.08,2.65,4.17,0.97,4.31,2.80,1.98,1.08,113481,5.97
la_palma,N28VW018B,ASTER,md_dtm-2m_1sec_point,DTM,100.00,-77.16,109.39,-0.66,4.12,6.65,0.15,6.68,4.04,2.29,0.66,130321,9.43
la_palma,N28XW018A,ASTER,md_dtm-2m_1sec_point,DTM,91.08,-100.78,113.01,-1.88,5.07,8.32,-1.01,8.53,5.10,3.08,1.88,118593,11.14
la_palma,N28XW018B,ASTER,md_dtm-2m_1sec_point,DTM,100.00,-118.01,113.01,-3.51,8.22,12.08,-1.44,12.58,8.11,4.98,3.51,130321,19.07
la_palma,N28UW018B,ASTER,md_dsm_5m_1sec_point,DSM,87.18,-118.01,109.62,0.58,2.55,4.07,0.47,4.11,2.58,1.79,0.58,113473,5.49
la_palma,N28VW018B,ASTER,md_dsm_5m_1sec_point,DSM,100.00,-118.01,109.62,-1.15,4.15,6.83,-0.25,6.93,4.05,2.19,1.15,130321,9.55
la_palma,N28XW018A,ASTER,md_dsm_5m_1sec_point,DSM,91.08,-118.01,114.79,-2.37,4.97,8.27,-1.53,8.61,5.13,3.12,2.37,118601,11.07
la_palma,N28XW018B,ASTER,md_dsm_5m_1sec_point,DSM,100.00,-121.28,114.79,-4.36,8.40,12.32,-2.18,13.07,8.41,5.10,4.36,130321,20.05
la_palma,N28UW018B,FABDEM,md_dtm-2m_1sec_point,DTM,87.18,-32.47,52.98,-0.51,1.43,2.25,-0.41,2.31,1.48,0.96,0.51,113481,3.33
la_palma,N28VW018B,FABDEM,md_dtm-2m_1sec_point,DTM,100.00,-80.98,84.39,-1.59,2.94,5.66,-0.75,5.88,2.94,1.44,1.59,130321,6.5
la_palma,N28XW018A,FABDEM,md_dtm-2m_1sec_point,DTM,91.08,-100.68,84.39,-2.47,4.01,7.26,-1.29,7.67,4.09,2.07,2.47,118593,9.31
la_palma,N28XW018B,FABDEM,md_dtm-2m_1sec_point,DTM,100.00,-121.13,84.39,-4.64,7.38,11.32,-1.86,12.23,7.16,3.56,4.64,130321,18.46
la_palma,N28UW018B,FABDEM,md_dsm_5m_1sec_point,DSM,87.18,-121.13,53.21,-1.00,1.55,2.35,-0.88,2.55,1.75,1.26,1.00,113473,3.78
la_palma,N28VW018B,FABDEM,md_dsm_5m_1sec_point,DSM,100.00,-121.13,80.26,-2.08,3.05,5.95,-1.12,6.30,3.16,1.62,2.08,130321,6.64
la_palma,N28XW018A,FABDEM,md_dsm_5m_1sec_point,DSM,91.08,-121.13,80.26,-2.95,4.12,7.34,-1.75,7.92,4.40,2.42,2.95,118601,9.63
la_palma,N28XW018B,FABDEM,md_dsm_5m_1sec_point,DSM,100.00,-124.45,80.26,-5.49,7.61,11.56,-2.50,12.80,7.58,3.81,5.49,130321,19.68
norway,N59QE009G,COP,md_dtm1m_1.5x1sec_point,DTM,76.65,-37.94,22.54,-0.93,2.49,3.55,-0.60,3.67,2.54,1.74,0.93,110988,5.73
norway,N59RE009G,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-37.94,22.54,-0.44,1.95,2.73,-0.31,2.76,1.97,1.40,0.44,144761,4.43
norway,N59RE010A,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-37.94,22.54,-0.38,2.02,2.82,-0.21,2.84,2.03,1.47,0.38,144761,4.52
norway,N59RE010B,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-37.94,22.54,0.32,1.88,2.67,0.19,2.69,1.89,1.30,0.32,144761,4.47
norway,N59RE010C,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-37.94,22.54,1.51,1.98,2.66,0.87,3.06,2.07,1.29,1.51,144761,5.32
norway,N59TE009G,COP,md_dtm1m_1.5x1sec_point,DTM,93.44,-37.94,22.54,0.20,1.74,2.43,0.09,2.44,1.74,1.21,0.20,135292,3.99
