AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,ELD_MIN,ELD_Max,ELD_Mean,ELD_AVG,ELD_STD,ELD_MEDIAN,ELD_RMSE,ELD_MAE,ELD_AB_MD,N
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DTM,87.18,-36.68,120.38,5.65,5.32,7.21,4.87,9.16,6.92,5.44,141629
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-103.27,198.09,5.85,9.17,14.04,2.39,15.21,8.97,4.42,184240
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DTM,91.08,-202.28,320.37,8.32,15.47,22.99,4.50,24.45,15.66,10.19,323567
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-202.28,320.37,10.06,17.54,25.74,6.26,27.64,18.14,12.37,205272
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DSM,87.18,-36.68,120.38,5.65,5.32,7.21,4.87,9.16,6.92,5.44,141629
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DSM,100.00,-103.27,198.09,5.85,9.17,14.04,2.39,15.21,8.97,4.42,184240
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DSM,91.08,-202.28,320.37,8.32,15.47,22.99,4.50,24.45,15.66,10.19,323567
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DSM,100.00,-202.28,320.37,10.06,17.54,25.74,6.26,27.64,18.14,12.37,205272
la_palma,N28UW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-108.27,190.00,10.69,5.75,7.89,10.01,13.29,11.16,10.09,141629
la_palma,N28VW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-136.70,234.74,11.77,9.38,14.91,8.80,19.00,13.15,9.20,184240
la_palma,N28XW018A,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-193.35,333.38,16.24,16.23,24.51,12.11,29.40,19.94,13.72,323567
la_palma,N28XW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-193.35,333.38,17.51,18.96,27.78,12.84,32.84,22.33,15.29,205272
la_palma,N28UW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-108.27,190.00,10.69,5.75,7.89,10.01,13.29,11.16,10.09,141629
la_palma,N28VW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-136.70,234.74,11.77,9.38,14.91,8.80,19.00,13.15,9.20,184240
la_palma,N28XW018A,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-193.35,333.38,16.24,16.23,24.51,12.11,29.40,19.94,13.72,323567
la_palma,N28XW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-193.35,333.38,17.51,18.96,27.78,12.84,32.84,22.33,15.29,205272
la_palma,N28UW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,87.18,-49.89,139.50,6.94,2.75,4.20,6.67,8.11,7.10,6.70,141825
la_palma,N28VW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,100.00,-137.68,244.93,10.62,5.45,10.37,8.87,14.84,11.01,8.92,184416
la_palma,N28XW018A,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,91.08,-233.34,506.10,13.29,8.05,19.22,10.13,23.36,14.25,10.28,323647
la_palma,N28XW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,100.00,-233.34,506.10,14.51,9.93,22.44,10.75,26.72,15.83,11.01,205436
la_palma,N28UW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,87.18,-49.89,139.50,6.94,2.75,4.20,6.67,8.11,7.10,6.70,141825
la_palma,N28VW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,100.00,-137.68,244.93,10.62,5.45,10.37,8.87,14.84,11.01,8.92,184416
la_palma,N28XW018A,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,91.08,-233.34,506.10,13.29,8.05,19.22,10.13,23.36,14.25,10.28,323647
la_palma,N28XW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,100.00,-233.34,506.10,14.51,9.93,22.44,10.75,26.72,15.83,11.01,205436
la_palma,N28UW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-95.43,137.00,8.93,5.67,7.78,8.15,11.84,9.63,8.34,141629
la_palma,N28VW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-101.87,221.70,10.14,9.33,14.92,6.99,18.04,11.84,7.60,184240
la_palma,N28XW018A,NASA_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-424.75,380.38,13.85,16.57,26.03,9.34,29.49,18.61,11.78,323567
la_palma,N28XW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-262.81,380.38,15.95,19.03,28.20,11.08,32.40,21.43,14.15,205272
la_palma,N28UW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-95.43,137.00,8.93,5.67,7.78,8.15,11.84,9.63,8.34,141629
la_palma,N28VW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-101.87,221.70,10.14,9.33,14.92,6.99,18.04,11.84,7.60,184240
la_palma,N28XW018A,NASA_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-424.75,380.38,13.85,16.57,26.03,9.34,29.49,18.61,11.78,323567
la_palma,N28XW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-262.81,380.38,15.95,19.03,28.20,11.08,32.40,21.43,14.15,205272
la_palma,N28UW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-80.65,130.19,8.55,7.96,10.48,6.64,13.52,10.10,7.31,141629
la_palma,N28VW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-98.02,242.13,12.06,10.63,17.12,8.02,20.94,13.63,8.56,184240
la_palma,N28XW018A,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-195.57,356.30,16.84,16.94,25.02,12.06,30.16,20.45,13.85,323567
la_palma,N28XW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-195.57,356.30,18.84,19.02,28.01,14.10,33.75,23.24,16.28,205272
la_palma,N28UW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-80.65,130.19,8.55,7.96,10.48,6.64,13.52,10.10,7.31,141629
la_palma,N28VW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-98.02,242.13,12.06,10.63,17.12,8.02,20.94,13.63,8.56,184240
la_palma,N28XW018A,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-195.57,356.30,16.84,16.94,25.02,12.06,30.16,20.45,13.85,323567
la_palma,N28XW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-195.57,356.30,18.84,19.02,28.01,14.10,33.75,23.24,16.28,205272
la_palma,N28UW018B,FABDEM,md_dtm-2m_1sec_point,DTM,87.18,-51.07,114.89,0.45,2.26,3.78,0.19,3.80,2.26,1.34,141629
la_palma,N28VW018B,FABDEM,md_dtm-2m_1sec_point,DTM,100.00,-185.92,219.25,1.65,4.55,10.91,0.44,11.03,4.32,1.82,184240
la_palma,N28XW018A,FABDEM,md_dtm-2m_1sec_point,DTM,91.08,-229.51,322.25,2.82,9.96,19.81,0.08,20.01,9.39,3.87,323567
la_palma,N28XW018B,FABDEM,md_dtm-2m_1sec_point,DTM,100.00,-229.51,322.25,4.10,11.92,22.79,0.87,23.15,11.38,4.74,205272
la_palma,N28UW018B,FABDEM,md_dtm-2m_1sec_point,DSM,87.18,-51.07,114.89,0.45,2.26,3.78,0.19,3.80,2.26,1.34,141629
la_palma,N28VW018B,FABDEM,md_dtm-2m_1sec_point,DSM,100.00,-185.92,219.25,1.65,4.55,10.91,0.44,11.03,4.32,1.82,184240
la_palma,N28XW018A,FABDEM,md_dtm-2m_1sec_point,DSM,91.08,-229.51,322.25,2.82,9.96,19.81,0.08,20.01,9.39,3.87,323567
la_palma,N28XW018B,FABDEM,md_dtm-2m_1sec_point,DSM,100.00,-229.51,322.25,4.10,11.92,22.79,0.87,23.15,11.38,4.74,205272
