AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,ELD_MIN,ELD_Max,ELD_Mean,ELD_AVG,ELD_STD,ELD_MEDIAN,ELD_RMSE,ELD_MAE,ELD_AB_MD,ELD_AB_MN,ELD_N,ELD_LE90
brazil,S08PW038C,COP,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,99.11,-20.01,579.87,1.82,3.06,23.13,0.56,23.20,2.81,1.19,1.82,129159,4.02
brazil,S08PW038C,COP,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,99.11,-27.35,579.87,0.17,2.97,23.66,-0.77,23.66,2.90,1.31,0.17,129171,3.97
brazil,S08PW038C,SRTM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,99.11,-20.27,583.23,5.20,3.40,23.18,4.02,23.76,5.40,4.06,5.20,129159,7.57
brazil,S08PW038C,SRTM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,99.11,-26.17,583.23,3.56,3.38,23.70,2.53,23.97,4.18,2.74,3.56,129171,6.02
brazil,S08PW038C,ALOS,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_area,DTM,99.11,-20.67,28.51,2.54,1.32,1.89,2.25,3.17,2.58,2.25,2.54,128163,4.72
brazil,S08PW038C,ALOS,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_area,DSM,99.11,-26.55,28.45,0.85,1.35,1.79,0.87,1.98,1.53,1.28,0.85,128164,3.02
brazil,S08PW038C,NASA,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,99.11,-23.27,578.23,0.50,3.37,23.16,-0.67,23.17,3.22,1.70,0.50,129159,4.61
brazil,S08PW038C,NASA,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,99.11,-29.17,578.23,-1.15,3.34,23.69,-2.17,23.72,3.90,2.43,1.15,129171,5.61
brazil,S08PW038C,ASTER,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,99.11,-32.42,576.23,-1.72,4.49,23.39,-2.69,23.45,5.09,3.42,1.72,129159,8.47
brazil,S08PW038C,ASTER,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,99.11,-37.11,576.23,-3.37,4.51,23.91,-4.23,24.15,6.10,4.45,3.37,129171,10.03
brazil,S08PW038C,FABDEM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,99.11,-20.93,578.74,1.52,2.96,23.12,0.37,23.17,2.70,1.12,1.52,129159,3.7
brazil,S08PW038C,FABDEM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,99.11,-27.65,578.74,-0.13,3.00,23.67,-0.97,23.67,3.05,1.40,0.13,129171,4.37
brazil,S08PW038D,COP,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,99.45,-42.94,41.35,1.27,3.88,5.84,0.75,5.97,3.93,2.22,1.27,129599,10.09
brazil,S08PW038D,COP,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,99.45,-48.62,38.73,-0.12,3.89,5.92,-0.21,5.92,3.89,2.13,0.12,129599,10.1
brazil,S08PW038D,SRTM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,99.45,-47.77,70.51,3.68,4.07,6.04,3.24,7.08,5.20,3.85,3.68,129599,11.38
brazil,S08PW038D,SRTM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,99.45,-49.33,68.62,2.29,4.12,6.11,2.21,6.53,4.65,3.28,2.29,129599,10.61
brazil,S08PW038D,ALOS,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_area,DTM,99.45,-36.27,36.87,2.46,2.00,2.75,1.69,3.69,2.66,1.75,2.46,128522,6.38
brazil,S08PW038D,ALOS,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_area,DSM,99.45,-38.65,34.94,1.07,1.77,2.56,0.77,2.78,1.90,1.23,1.07,128522,4.63
brazil,S08PW038D,NASA,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,99.45,-52.77,63.20,-0.79,4.05,6.02,-1.27,6.07,4.21,2.81,0.79,129599,9.91
brazil,S08PW038D,NASA,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,99.45,-54.23,61.65,-2.18,4.09,6.09,-2.31,6.47,4.68,3.39,2.18,129599,10.52
brazil,S08PW038D,ASTER,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,99.45,-65.44,45.22,-3.29,5.09,7.23,-3.12,7.95,5.83,4.41,3.29,129599,12.5
brazil,S08PW038D,ASTER,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,99.45,-67.91,40.99,-4.68,5.17,7.33,-4.20,8.69,6.48,5.02,4.68,129599,13.65
brazil,S08PW038D,FABDEM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,99.45,-51.24,41.04,0.67,3.76,5.76,0.48,5.80,3.79,2.09,0.67,129599,9.88
brazil,S08PW038D,FABDEM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,99.45,-56.92,38.31,-0.72,3.88,5.89,-0.47,5.94,3.90,2.13,0.72,129599,10.16
brazil,S08QW038C,COP,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,99.11,-39.75,915.38,2.69,4.20,29.08,0.91,29.21,3.82,1.55,2.69,129160,5.55
brazil,S08QW038C,COP,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,99.11,-40.90,915.38,0.94,3.96,29.77,-0.36,29.79,3.66,1.49,0.94,129166,5.21
brazil,S08QW038C,SRTM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,99.11,-39.15,919.36,5.82,4.23,29.08,4.21,29.66,6.13,4.28,5.82,129160,8.42
brazil,S08QW038C,SRTM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,99.11,-43.00,919.36,4.07,4.12,29.78,2.75,30.06,4.89,3.02,4.07,129166,6.86
brazil,S08QW038C,ALOS,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_area,DTM,99.11,-30.60,27.32,3.84,1.65,2.31,3.19,4.48,3.85,3.20,3.84,128164,7.09
brazil,S08QW038C,ALOS,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_area,DSM,99.11,-32.19,20.33,2.04,1.23,1.70,1.99,2.66,2.21,2.03,2.04,128163,3.93
brazil,S08QW038C,NASA,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,99.11,-42.16,915.36,1.59,4.31,29.12,-0.09,29.16,3.90,1.79,1.59,129160,5.5
brazil,S08QW038C,NASA,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,99.11,-47.00,915.36,-0.15,4.16,29.81,-1.56,29.81,4.22,2.25,0.15,129166,6.06
brazil,S08QW038C,ASTER,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,99.11,-37.59,911.36,1.12,5.09,29.24,-0.60,29.26,4.82,2.64,1.12,129160,7.5
brazil,S08QW038C,ASTER,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,99.11,-43.87,911.36,-0.63,4.94,29.92,-2.09,29.93,5.17,3.12,0.63,129166,8.05
brazil,S08QW038C,FABDEM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,99.11,-39.48,914.93,2.22,4.00,29.04,0.62,29.13,3.60,1.42,2.22,129160,4.97
brazil,S08QW038C,FABDEM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,99.11,-40.63,914.93,0.47,3.91,29.76,-0.66,29.76,3.76,1.59,0.47,129166,5.51
brazil,S08QW038D,COP,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,99.45,-22.28,13.23,0.58,1.37,1.79,0.46,1.88,1.42,1.10,0.58,129600,3.06
brazil,S08QW038D,COP,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,99.45,-24.55,13.76,0.00,1.37,1.81,-0.08,1.81,1.37,1.09,0.00,129600,2.89
brazil,S08QW038D,SRTM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,99.45,-26.94,18.29,3.63,1.70,2.19,3.58,4.24,3.72,3.59,3.63,129600,6.4
brazil,S08QW038D,SRTM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,99.45,-27.75,18.57,3.05,1.74,2.25,3.02,3.79,3.23,3.05,3.05,129600,5.88
brazil,S08QW038D,ALOS,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_area,DTM,99.45,-19.21,17.75,2.08,0.95,1.36,1.82,2.48,2.09,1.82,2.08,128522,3.69
brazil,S08QW038D,ALOS,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_area,DSM,99.45,-22.20,17.38,1.51,0.93,1.34,1.36,2.02,1.60,1.38,1.51,128521,2.98
brazil,S08QW038D,NASA,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,99.45,-30.94,13.29,-0.66,1.71,2.20,-0.70,2.30,1.80,1.51,0.66,129600,3.71
brazil,S08QW038D,NASA,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,99.45,-31.75,13.57,-1.23,1.76,2.26,-1.26,2.57,2.04,1.74,1.23,129600,4.14
brazil,S08QW038D,ASTER,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,99.45,-29.76,53.11,-2.86,3.00,3.93,-2.85,4.86,3.86,3.31,2.86,129600,7.73
brazil,S08QW038D,ASTER,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,99.45,-29.77,53.05,-3.44,3.00,3.93,-3.42,5.22,4.21,3.70,3.44,129600,8.26
brazil,S08QW038D,FABDEM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,99.45,-22.99,12.67,0.20,1.33,1.73,0.14,1.74,1.34,1.07,0.20,129600,2.79
brazil,S08QW038D,FABDEM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,99.45,-25.25,13.01,-0.37,1.40,1.83,-0.39,1.87,1.43,1.16,0.37,129600,2.97
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DTM,87.18,-36.97,120.15,5.78,5.44,7.30,5.16,9.32,7.15,5.77,5.78,113612,14.87
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-100.27,198.36,7.36,10.54,15.45,3.17,17.12,10.47,5.63,7.36,130321,25.95
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DTM,91.08,-144.51,203.28,5.52,11.41,16.80,2.68,17.68,11.40,7.42,5.52,118702,25.69
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-202.36,320.67,12.04,19.86,29.21,7.94,31.59,20.69,14.12,12.04,130320,43.97
la_palma,N28UW018B,COP,md_dsm_5m_1sec_point,DSM,87.18,-41.90,120.57,1.36,5.27,7.26,1.18,7.38,5.37,4.04,1.36,113615,11.57
la_palma,N28VW018B,COP,md_dsm_5m_1sec_point,DSM,100.00,-128.75,195.81,0.83,9.45,15.76,-0.38,15.79,9.36,5.35,0.83,130321,21.53
la_palma,N28XW018A,COP,md_dsm_5m_1sec_point,DSM,91.08,-147.68,201.63,0.05,11.13,16.86,-1.55,16.86,11.13,7.81,0.05,118995,23.03
la_palma,N28XW018B,COP,md_dsm_5m_1sec_point,DSM,100.00,-204.47,312.29,3.87,19.92,29.75,-0.82,30.00,19.54,13.93,3.87,130321,40.47
la_palma,N28UW018B,SRTM,md_dtm-2m_1sec_point,DTM,87.18,-107.92,190.46,11.76,5.77,7.89,11.22,14.16,12.18,11.28,11.76,113612,21.15
la_palma,N28VW018B,SRTM,md_dtm-2m_1sec_point,DTM,100.00,-136.73,234.67,13.81,10.46,16.26,10.31,21.33,15.17,10.69,13.81,130321,31.63
la_palma,N28XW018A,SRTM,md_dtm-2m_1sec_point,DTM,91.08,-169.59,261.18,13.91,11.30,17.30,11.30,22.20,15.71,11.80,13.91,118702,32.37
la_palma,N28XW018B,SRTM,md_dtm-2m_1sec_point,DTM,100.00,-193.72,333.29,20.75,21.24,31.00,15.98,37.30,25.56,18.08,20.75,130320,55.3
la_palma,N28UW018B,SRTM,md_dsm_5m_1sec_point,DSM,87.18,-108.01,190.56,7.34,5.54,7.74,7.26,10.67,8.56,7.63,7.34,113615,15.99
la_palma,N28VW018B,SRTM,md_dsm_5m_1sec_point,DSM,100.00,-146.95,222.18,7.27,9.82,16.73,6.60,18.24,11.81,8.13,7.27,130321,24.69
la_palma,N28XW018A,SRTM,md_dsm_5m_1sec_point,DSM,91.08,-170.29,261.26,8.43,10.94,17.35,6.78,19.29,12.58,8.90,8.43,118995,25.87
la_palma,N28XW018B,SRTM,md_dsm_5m_1sec_point,DSM,100.00,-195.83,324.50,12.58,21.46,31.64,7.15,34.05,22.00,14.22,12.58,130321,49.71
la_palma,N28UW018B,ALOS,md_dtm-2m_1sec_area,DTM,87.18,-49.62,139.75,7.91,2.63,4.14,7.62,8.93,8.04,7.64,7.91,113706,11.98
la_palma,N28VW018B,ALOS,md_dtm-2m_1sec_area,DTM,100.00,-137.88,244.87,12.45,6.05,11.52,10.00,16.96,12.89,10.05,12.45,130321,21.81
la_palma,N28XW018A,ALOS,md_dtm-2m_1sec_area,DTM,91.08,-137.88,445.58,10.98,4.36,11.36,9.44,15.80,11.34,9.48,10.98,118666,17.24
la_palma,N28XW018B,ALOS,md_dtm-2m_1sec_area,DTM,100.00,-233.93,506.03,16.10,11.24,26.54,11.45,31.05,17.73,11.74,16.10,130321,28.77
la_palma,N28UW018B,ALOS,md_dsm_5m_1sec_area,DSM,87.18,-49.62,139.80,3.48,3.33,4.56,3.54,5.74,4.50,3.98,3.48,113687,8.49
la_palma,N28VW018B,ALOS,md_dsm_5m_1sec_area,DSM,100.00,-149.05,226.95,5.91,5.42,11.78,6.24,13.18,7.95,6.64,5.91,130321,12.17
la_palma,N28XW018A,ALOS,md_dsm_5m_1sec_area,DSM,91.08,-149.05,443.02,5.50,4.50,11.50,5.80,12.74,6.96,6.09,5.50,118969,10.58
la_palma,N28XW018B,ALOS,md_dsm_5m_1sec_area,DSM,100.00,-237.73,489.73,7.94,10.34,26.37,5.34,27.54,11.51,6.31,7.94,130321,19.59
la_palma,N28UW018B,NASA,md_dtm-2m_1sec_point,DTM,87.18,-95.04,137.46,9.58,5.81,7.85,8.96,12.39,10.27,9.12,9.58,113612,19.12
la_palma,N28VW018B,NASA,md_dtm-2m_1sec_point,DTM,100.00,-101.95,221.55,11.81,10.60,16.43,8.05,20.23,13.58,8.71,11.81,130321,30.16
la_palma,N28XW018A,NASA,md_dtm-2m_1sec_point,DTM,91.08,-138.24,249.49,10.44,11.51,18.07,7.39,20.87,13.32,8.79,10.44,118702,28.92
la_palma,N28XW018B,NASA,md_dtm-2m_1sec_point,DTM,100.00,-263.44,380.29,18.68,21.53,31.73,13.43,36.82,24.43,16.42,18.68,130320,53.86
la_palma,N28UW018B,NASA,md_dsm_5m_1sec_point,DSM,87.18,-100.11,137.56,5.15,5.50,7.61,5.05,9.19,7.09,5.91,5.15,113615,14.16
la_palma,N28VW018B,NASA,md_dsm_5m_1sec_point,DSM,100.00,-126.55,215.86,5.27,9.83,16.80,4.37,17.61,10.80,6.61,5.27,130321,23.81
la_palma,N28XW018A,NASA,md_dsm_5m_1sec_point,DSM,91.08,-140.22,252.02,4.97,11.10,18.12,2.88,18.79,11.27,7.31,4.97,118995,23.33
la_palma,N28XW018B,NASA,md_dsm_5m_1sec_point,DSM,100.00,-265.15,371.50,10.51,21.79,32.42,4.66,34.08,21.63,13.84,10.51,130321,48.64
la_palma,N28UW018B,ASTER,md_dtm-2m_1sec_point,DTM,87.18,-75.28,124.59,13.19,8.09,10.53,11.87,16.88,13.91,12.06,13.19,113612,26.8
la_palma,N28VW018B,ASTER,md_dtm-2m_1sec_point,DTM,100.00,-87.21,241.14,15.25,12.51,18.45,10.50,23.94,16.77,11.14,15.25,130321,36.06
la_palma,N28XW018A,ASTER,md_dtm-2m_1sec_point,DTM,91.08,-145.24,241.14,13.51,14.39,20.35,9.75,24.43,16.93,11.48,13.51,118702,38.01
la_palma,N28XW018B,ASTER,md_dtm-2m_1sec_point,DTM,100.00,-190.06,365.52,25.03,21.94,31.56,20.30,40.28,28.73,21.79,25.03,130320,61.05
la_palma,N28UW018B,ASTER,md_dsm_5m_1sec_point,DSM,87.18,-78.62,125.01,8.76,6.36,8.89,8.22,12.48,9.92,8.54,8.76,113615,19
la_palma,N28VW018B,ASTER,md_dsm_5m_1sec_point,DSM,100.00,-119.98,231.26,8.72,11.02,18.17,6.51,20.16,12.95,8.10,8.72,130321,28.8
la_palma,N28XW018A,ASTER,md_dsm_5m_1sec_point,DSM,91.08,-148.22,234.73,8.03,13.00,19.59,5.31,21.17,13.77,8.93,8.03,118995,30.8
la_palma,N28XW018B,ASTER,md_dsm_5m_1sec_point,DSM,100.00,-192.11,361.03,16.86,22.26,32.31,11.61,36.44,24.38,16.33,16.86,130321,55.01
la_palma,N28UW018B,FABDEM,md_dtm-2m_1sec_point,DTM,87.18,-44.68,119.74,2.67,5.21,7.14,2.41,7.63,5.61,4.31,2.67,113612,11.89
la_palma,N28VW018B,FABDEM,md_dtm-2m_1sec_point,DTM,100.00,-131.61,197.79,1.98,9.45,14.89,0.08,15.02,9.23,5.65,1.98,130321,21.42
la_palma,N28XW018A,FABDEM,md_dtm-2m_1sec_point,DTM,91.08,-159.31,203.70,1.06,11.43,17.22,-1.05,17.25,11.32,8.07,1.06,118702,22.88
la_palma,N28XW018B,FABDEM,md_dtm-2m_1sec_point,DTM,100.00,-202.40,321.27,5.43,20.16,29.75,1.01,30.24,19.85,14.22,5.43,130320,40.91
la_palma,N28UW018B,FABDEM,md_dsm_5m_1sec_point,DSM,87.18,-47.53,120.16,-1.75,6.22,8.27,-1.56,8.45,6.36,5.00,1.75,113615,13.57
la_palma,N28VW018B,FABDEM,md_dsm_5m_1sec_point,DSM,100.00,-142.84,195.24,-4.55,10.20,16.23,-3.27,16.85,10.70,7.00,4.55,130321,23.68
la_palma,N28XW018A,FABDEM,md_dsm_5m_1sec_point,DSM,91.08,-167.68,202.05,-4.40,11.97,17.93,-5.03,18.46,12.80,9.48,4.40,118995,26.44
la_palma,N28XW018B,FABDEM,md_dsm_5m_1sec_point,DSM,100.00,-204.51,312.49,-2.74,20.68,30.75,-6.64,30.87,21.21,15.94,2.74,130321,41.57
norway,N59QE009G,COP,md_dtm1m_1.5x1sec_point,DTM,76.65,-32.43,94.83,4.35,4.90,6.59,3.14,7.90,5.53,3.90,4.35,110963,12.88
norway,N59RE009G,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-32.43,94.83,4.11,4.57,5.99,2.89,7.27,5.15,3.53,4.11,144761,12.22
norway,N59RE010A,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-48.32,94.83,4.56,4.16,5.29,3.64,6.98,5.16,3.84,4.56,144761,11.77
norway,N59RE010B,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-48.32,94.83,4.06,4.12,5.07,2.77,6.50,4.58,2.98,4.06,144758,11.27
norway,N59RE010C,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-48.32,94.83,3.21,4.02,5.00,0.67,5.94,3.62,1.18,3.21,144759,11.13
