AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,ELD_MIN,ELD_Max,ELD_Mean,ELD_AVG,ELD_STD,ELD_MEDIAN,ELD_RMSE,ELD_MAE,ELD_AB_MD,ELD_AB_MN,ELD_N,ELD_LE90
norway,N59TE009G,COP,md_dtm1m_1.5x1sec_point,DTM,93.44,-48.32,94.83,3.66,4.20,5.49,2.86,6.60,4.86,3.57,3.66,135265,11.08
norway,N59TE010A,COP,md_dtm1m_1.5x1sec_point,DTM,99.12,-48.32,94.83,3.47,3.77,4.82,2.60,5.93,4.33,3.10,3.47,143483,10.01
norway,N59TE010B,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-48.32,94.83,3.41,4.00,4.96,1.48,6.02,3.98,1.93,3.41,144758,10.87
norway,N59TE010C,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-48.32,94.83,1.76,2.97,4.28,0.00,4.63,2.20,0.00,1.76,144760,8.34
norway,N59QE009G,COP,md_dsm1m_1sec_point,DSM,76.65,-40.76,77.01,-1.40,4.59,6.46,-1.15,6.61,4.71,3.46,1.40,110961,10.59
norway,N59RE009G,COP,md_dsm1m_1sec_point,DSM,100.00,-40.76,77.01,-1.86,3.96,5.41,-1.94,5.72,4.30,3.43,1.86,144759,9.16
norway,N59RE010A,COP,md_dsm1m_1sec_point,DSM,100.00,-49.30,77.01,-1.23,3.41,4.65,-1.21,4.80,3.59,2.75,1.23,144757,7.9
norway,N59RE010B,COP,md_dsm1m_1sec_point,DSM,100.00,-49.30,77.01,-0.73,2.67,3.86,-0.58,3.93,2.74,1.84,0.73,144760,6.46
norway,N59RE010C,COP,md_dsm1m_1sec_point,DSM,100.00,-49.30,77.01,-0.23,2.00,3.20,-0.16,3.21,2.00,0.98,0.23,144761,5.2
norway,N59TE009G,COP,md_dsm1m_1sec_point,DSM,93.44,-49.30,77.01,-1.76,3.85,5.17,-1.50,5.46,4.07,3.11,1.76,135264,8.91
norway,N59TE010A,COP,md_dsm1m_1sec_point,DSM,99.12,-49.30,77.01,-1.49,3.41,4.66,-1.21,4.89,3.59,2.61,1.49,143477,8.11
norway,N59TE010B,COP,md_dsm1m_1sec_point,DSM,100.00,-49.30,77.01,-0.59,2.51,3.78,-0.43,3.83,2.56,1.53,0.59,144758,6.35
norway,N59TE010C,COP,md_dsm1m_1sec_point,DSM,100.00,-501.61,77.01,-0.72,2.39,6.04,0.13,6.08,2.19,0.67,0.72,105705,5.47
norway,N59QE009G,SRTM,md_dtm1m_1sec_point,DTM,76.65,-47.99,74.77,5.38,5.05,6.63,4.71,8.54,6.53,5.27,5.38,166293,13.82
norway,N59RE009G,SRTM,md_dtm1m_1sec_point,DTM,100.00,-47.99,74.77,5.78,4.52,5.79,5.13,8.18,6.44,5.34,5.78,216958,13.33
norway,N59RE010A,SRTM,md_dtm1m_1sec_point,DTM,100.00,-47.99,74.77,6.17,4.03,5.09,5.74,8.00,6.57,5.82,6.17,216958,12.87
norway,N59RE010B,SRTM,md_dtm1m_1sec_point,DTM,100.00,-47.99,74.77,6.06,3.68,4.52,5.30,7.56,6.16,5.31,6.06,216958,12.36
norway,N59RE010C,SRTM,md_dtm1m_1sec_point,DTM,100.00,-47.99,74.77,4.37,3.40,4.24,3.10,6.09,4.46,3.13,4.37,216961,10.73
norway,N59TE009G,SRTM,md_dtm1m_1sec_point,DTM,93.44,-47.99,93.58,5.82,4.36,5.61,5.48,8.08,6.56,5.71,5.82,202731,13.07
norway,N59TE010A,SRTM,md_dtm1m_1sec_point,DTM,99.12,-47.99,93.58,5.93,3.76,4.75,5.56,7.60,6.30,5.65,5.93,215047,12.17
norway,N59TE010B,SRTM,md_dtm1m_1sec_point,DTM,100.00,-47.99,93.58,5.19,3.34,4.16,4.18,6.65,5.30,4.21,5.19,216957,11.24
norway,N59TE010C,SRTM,md_dtm1m_1sec_point,DTM,100.00,-47.99,93.58,2.45,3.07,4.05,0.09,4.74,2.67,0.09,2.45,216960,8.63
norway,N59QE009G,SRTM,md_dsm1m_1sec_point,DSM,76.65,-52.91,65.06,-0.39,5.33,7.01,-0.37,7.02,5.34,4.22,0.39,166295,11.51
norway,N59RE009G,SRTM,md_dsm1m_1sec_point,DSM,100.00,-52.91,65.06,-0.16,4.73,6.11,-0.47,6.12,4.74,3.82,0.16,216959,10.01
norway,N59RE010A,SRTM,md_dsm1m_1sec_point,DSM,100.00,-52.91,65.06,0.47,4.32,5.51,0.34,5.53,4.33,3.51,0.47,216956,9.12
norway,N59RE010B,SRTM,md_dsm1m_1sec_point,DSM,100.00,-52.91,65.06,1.28,3.60,4.81,1.38,4.97,3.81,2.89,1.28,216960,8.22
norway,N59RE010C,SRTM,md_dsm1m_1sec_point,DSM,100.00,-52.91,65.06,0.96,2.81,4.06,0.89,4.17,3.01,2.13,0.96,216961,6.93
norway,N59TE009G,SRTM,md_dsm1m_1sec_point,DSM,93.44,-52.91,88.03,0.54,4.64,6.06,0.41,6.08,4.65,3.63,0.54,202732,10.13
norway,N59TE010A,SRTM,md_dsm1m_1sec_point,DSM,99.12,-52.91,88.03,0.96,4.24,5.46,1.05,5.55,4.33,3.45,0.96,215043,9.25
norway,N59TE010B,SRTM,md_dsm1m_1sec_point,DSM,100.00,-52.91,88.03,1.21,3.36,4.53,1.59,4.69,3.64,2.85,1.21,216957,7.73
norway,N59TE010C,SRTM,md_dsm1m_1sec_point,DSM,100.00,-501.56,88.03,0.24,2.68,6.33,0.35,6.34,2.79,1.43,0.24,158361,6.61
norway,N59QE009G,ALOS,md_dtm1m_1sec_area,DTM,76.65,-42.21,40.23,6.29,4.19,5.31,5.35,8.23,6.52,5.40,6.29,167210,13.74
norway,N59RE009G,ALOS,md_dtm1m_1sec_area,DTM,100.00,-42.21,40.23,5.06,3.52,4.52,4.03,6.79,5.25,4.06,5.06,216960,11.57
norway,N59RE010A,ALOS,md_dtm1m_1sec_area,DTM,100.00,-42.21,93.85,5.97,3.51,4.82,5.07,7.67,6.11,5.10,5.97,217319,12.11
norway,N59RE010B,ALOS,md_dtm1m_1sec_area,DTM,100.00,-82.22,93.85,6.71,4.03,5.26,5.88,8.52,6.89,5.93,6.71,216594,13.55
norway,N59RE010C,ALOS,md_dtm1m_1sec_area,DTM,100.00,-82.22,93.85,4.49,3.84,5.06,2.95,6.76,4.71,3.03,4.49,216960,11.82
norway,N59TE009G,ALOS,md_dtm1m_1sec_area,DTM,93.44,-82.22,93.85,4.75,3.44,4.45,3.48,6.51,4.89,3.50,4.75,201814,11.32
norway,N59TE010A,ALOS,md_dtm1m_1sec_area,DTM,99.12,-82.22,93.85,5.39,3.33,4.30,4.41,6.89,5.49,4.42,5.39,214896,11.56
norway,N59TE010B,ALOS,md_dtm1m_1sec_area,DTM,100.00,-82.22,103.60,5.25,3.34,4.29,4.19,6.78,5.33,4.21,5.25,216596,11.27
norway,N59TE010C,ALOS,md_dtm1m_1sec_area,DTM,100.00,-82.22,103.60,2.52,3.27,4.54,0.09,5.19,2.72,0.09,2.52,216961,9.17
norway,N59QE009G,ALOS,md_dsm1m_1sec_area,DSM,76.65,-42.22,36.41,0.52,3.25,4.70,-0.03,4.73,3.21,2.14,0.52,167215,7.27
norway,N59RE009G,ALOS,md_dsm1m_1sec_area,DSM,100.00,-43.17,36.41,-0.88,3.00,4.31,-1.23,4.40,3.18,2.36,0.88,216960,6.76
norway,N59RE010A,ALOS,md_dsm1m_1sec_area,DSM,100.00,-43.17,93.13,0.27,3.69,5.12,-0.33,5.13,3.67,2.86,0.27,217319,7.41
norway,N59RE010B,ALOS,md_dsm1m_1sec_area,DSM,100.00,-82.23,93.13,1.93,3.43,4.92,1.83,5.28,3.84,2.90,1.93,216596,8.02
norway,N59RE010C,ALOS,md_dsm1m_1sec_area,DSM,100.00,-82.23,93.13,1.07,2.44,3.92,0.75,4.06,2.61,1.75,1.07,216960,5.77
norway,N59TE009G,ALOS,md_dsm1m_1sec_area,DSM,93.44,-82.23,93.13,-0.52,2.84,4.14,-0.85,4.17,2.93,2.07,0.52,201814,6.37
norway,N59TE010A,ALOS,md_dsm1m_1sec_area,DSM,99.12,-82.23,93.13,0.41,2.87,4.09,0.02,4.11,2.84,2.00,0.41,214897,6.09
norway,N59TE010B,ALOS,md_dsm1m_1sec_area,DSM,100.00,-82.23,98.86,1.28,3.25,4.49,1.57,4.67,3.54,2.77,1.28,216595,7.36
norway,N59TE010C,ALOS,md_dsm1m_1sec_area,DSM,100.00,-466.56,98.86,0.37,2.19,6.13,0.31,6.14,2.30,0.92,0.37,157855,5.28
norway,N59QE009G,NASA,md_dtm1m_1sec_point,DTM,76.65,-57.31,74.47,5.92,5.05,6.65,5.23,8.90,6.89,5.64,5.92,166293,14.34
norway,N59RE009G,NASA,md_dtm1m_1sec_point,DTM,100.00,-57.31,74.47,6.15,4.50,5.77,5.48,8.44,6.71,5.63,6.15,216958,13.7
norway,N59RE010A,NASA,md_dtm1m_1sec_point,DTM,100.00,-57.31,74.47,6.50,4.03,5.08,6.08,8.25,6.83,6.13,6.50,216958,13.19
norway,N59RE010B,NASA,md_dtm1m_1sec_point,DTM,100.00,-57.31,74.47,6.15,3.70,4.53,5.41,7.64,6.24,5.42,6.15,216958,12.47
norway,N59RE010C,NASA,md_dtm1m_1sec_point,DTM,100.00,-57.31,74.47,4.71,3.42,4.27,3.48,6.36,4.77,3.50,4.71,216961,11.09
norway,N59TE009G,NASA,md_dtm1m_1sec_point,DTM,93.44,-57.31,74.47,6.12,4.36,5.59,5.78,8.29,6.79,5.98,6.12,202731,13.37
norway,N59TE010A,NASA,md_dtm1m_1sec_point,DTM,99.12,-61.24,74.47,6.35,3.74,4.73,5.94,7.92,6.66,6.00,6.35,215047,12.55
norway,N59TE010B,NASA,md_dtm1m_1sec_point,DTM,100.00,-61.24,74.47,5.36,3.31,4.13,4.39,6.77,5.46,4.42,5.36,216957,11.36
norway,N59TE010C,NASA,md_dtm1m_1sec_point,DTM,100.00,-61.24,74.47,2.64,3.22,4.20,0.09,4.96,2.84,0.09,2.64,216960,9.04
norway,N59QE009G,NASA,md_dsm1m_1sec_point,DSM,76.65,-60.46,57.95,0.14,5.32,7.02,0.14,7.03,5.32,4.14,0.14,166295,11.49
norway,N59RE009G,NASA,md_dsm1m_1sec_point,DSM,100.00,-60.46,57.95,0.22,4.71,6.09,-0.10,6.10,4.71,3.76,0.22,216959,9.95
norway,N59RE010A,NASA,md_dsm1m_1sec_point,DSM,100.00,-60.46,57.95,0.80,4.28,5.48,0.66,5.54,4.31,3.46,0.80,216956,9.11
norway,N59RE010B,NASA,md_dsm1m_1sec_point,DSM,100.00,-60.46,57.95,1.37,3.58,4.78,1.44,4.97,3.81,2.90,1.37,216960,8.21
norway,N59RE010C,NASA,md_dsm1m_1sec_point,DSM,100.00,-60.46,57.95,1.29,2.83,4.06,1.27,4.26,3.13,2.32,1.29,216961,6.95
norway,N59TE009G,NASA,md_dsm1m_1sec_point,DSM,93.44,-60.46,57.95,0.85,4.65,6.05,0.74,6.11,4.69,3.67,0.85,202732,10.17
norway,N59TE010A,NASA,md_dsm1m_1sec_point,DSM,99.12,-67.08,57.95,1.38,4.23,5.45,1.49,5.62,4.40,3.53,1.38,215043,9.34
norway,N59TE010B,NASA,md_dsm1m_1sec_point,DSM,100.00,-67.08,57.95,1.38,3.38,4.54,1.78,4.74,3.72,2.97,1.38,216957,7.76
norway,N59TE010C,NASA,md_dsm1m_1sec_point,DSM,100.00,-501.56,57.95,0.50,2.74,6.37,0.45,6.39,2.86,1.53,0.50,158361,6.71
norway,N59QE009G,ASTER,md_dtm1m_1sec_point,DTM,76.65,-73.44,74.03,1.05,7.94,10.48,0.83,10.53,7.97,6.26,1.05,166293,17
norway,N59RE009G,ASTER,md_dtm1m_1sec_point,DTM,100.00,-73.44,74.03,3.96,7.28,9.49,3.21,10.28,7.75,6.00,3.96,216958,16.79
norway,N59RE010A,ASTER,md_dtm1m_1sec_point,DTM,100.00,-73.44,74.03,1.60,8.08,10.61,1.15,10.73,8.12,6.33,1.60,216958,17.44
norway,N59RE010B,ASTER,md_dtm1m_1sec_point,DTM,100.00,-73.44,74.03,-1.80,5.62,7.37,-1.96,7.59,5.85,4.72,1.80,216958,12.34
norway,N59RE010C,ASTER,md_dtm1m_1sec_point,DTM,100.00,-73.44,74.03,0.84,4.40,5.96,0.11,6.02,4.36,3.36,0.84,216961,9.82
norway,N59TE009G,ASTER,md_dtm1m_1sec_point,DTM,93.44,-73.44,74.03,3.74,7.89,10.12,3.15,10.79,8.29,6.63,3.74,202731,17.5
norway,N59TE010A,ASTER,md_dtm1m_1sec_point,DTM,99.12,-73.44,74.03,1.72,7.42,9.51,1.63,9.66,7.54,6.19,1.72,215047,15.79
norway,N59TE010B,ASTER,md_dtm1m_1sec_point,DTM,100.00,-73.44,74.03,-1.83,6.24,8.25,-1.79,8.44,6.43,5.11,1.83,216957,13.9
norway,N59TE010C,ASTER,md_dtm1m_1sec_point,DTM,100.00,-73.44,74.03,0.16,2.80,5.37,0.07,5.37,2.80,0.09,0.16,216960,8.81
norway,N59QE009G,ASTER,md_dsm1m_1sec_point,DSM,76.65,-80.25,68.85,-4.73,8.12,10.65,-4.56,11.66,8.99,7.27,4.73,166295,18.86
norway,N59RE009G,ASTER,md_dsm1m_1sec_point,DSM,100.00,-80.25,68.85,-1.97,7.18,9.36,-2.34,9.57,7.44,6.07,1.97,216959,15.57
norway,N59RE010A,ASTER,md_dsm1m_1sec_point,DSM,100.00,-80.25,68.85,-4.10,7.83,10.24,-4.23,11.03,8.60,7.02,4.10,216956,17.93
norway,N59RE010B,ASTER,md_dsm1m_1sec_point,DSM,100.00,-80.25,68.85,-6.58,6.14,7.88,-6.18,10.26,8.17,6.85,6.58,216960,16.87
norway,N59RE010C,ASTER,md_dsm1m_1sec_point,DSM,100.00,-80.25,68.85,-2.58,4.94,6.45,-1.71,6.95,5.06,3.81,2.58,216961,11.38
norway,N59TE009G,ASTER,md_dsm1m_1sec_point,DSM,93.44,-80.25,68.85,-1.53,7.61,9.82,-1.98,9.93,7.78,6.42,1.53,202732,16.02
norway,N59TE010A,ASTER,md_dsm1m_1sec_point,DSM,99.12,-80.25,68.85,-3.25,7.74,9.83,-3.03,10.35,8.14,6.74,3.25,215043,16.93
norway,N59TE010B,ASTER,md_dsm1m_1sec_point,DSM,100.00,-80.25,68.85,-5.81,6.65,8.60,-5.43,10.38,8.11,6.68,5.81,216957,17.12
norway,N59TE010C,ASTER,md_dsm1m_1sec_point,DSM,100.00,-501.56,68.85,-2.90,5.36,8.45,0.19,8.94,4.80,2.36,2.90,158361,12.83
norway,N59QE009G,FABDEM,md_dtm1m_1sec_point,DTM,76.65,-49.27,88.74,-0.86,5.20,7.17,-0.67,7.22,5.25,3.99,0.86,166028,11.71
norway,N59RE009G,FABDEM,md_dtm1m_1sec_point,DTM,100.00,-49.27,88.74,-1.02,4.98,6.68,-1.06,6.76,5.08,3.94,1.02,216597,11.18
norway,N59TE009G,FABDEM,md_dtm1m_1sec_point,DTM,93.44,-49.27,88.74,-1.07,4.34,5.82,-0.84,5.91,4.41,3.31,1.07,202382,9.79
norway,N59QE009G,FABDEM,md_dsm1m_1sec_point,DSM,76.65,-53.97,73.70,-6.63,6.11,7.70,-6.23,10.16,7.94,6.88,6.63,166030,16.62
norway,N59RE009G,FABDEM,md_dsm1m_1sec_point,DSM,100.00,-53.97,73.70,-6.95,5.52,6.96,-6.81,9.84,7.98,7.20,6.95,216598,15.99
norway,N59TE009G,FABDEM,md_dsm1m_1sec_point,DSM,93.44,-53.97,73.70,-6.35,4.92,6.22,-5.86,8.88,7.06,6.10,6.35,202383,14.55
pyrenees,N43PW002B,COP,md_dtm_2m_1sec_point,DTM,100.00,-31.93,68.71,6.34,8.97,11.10,6.33,12.79,10.30,8.92,6.34,130321,21.01
pyrenees,N43PW002C,COP,md_dtm_2m_1sec_point,DTM,100.00,-36.83,68.71,7.87,9.12,11.22,8.03,13.70,11.15,9.77,7.87,130320,22.62
pyrenees,N43PW002B,COP,md_dsm_5m_1sec_point,DSM,100.00,-46.06,62.19,-3.29,9.67,11.69,-3.30,12.14,9.98,8.96,3.29,130321,19.49
pyrenees,N43PW002C,COP,md_dsm_5m_1sec_point,DSM,100.00,-49.80,62.19,-1.31,9.37,11.40,-0.86,11.47,9.39,8.37,1.31,130321,18.49
pyrenees,N43PW002B,SRTM,md_dtm_2m_1sec_point,DTM,100.00,-44.10,61.67,4.30,8.65,10.81,4.40,11.63,9.35,8.02,4.30,130321,19.02
pyrenees,N43PW002C,SRTM,md_dtm_2m_1sec_point,DTM,100.00,-56.39,67.64,4.42,9.10,11.26,4.88,12.10,9.85,8.72,4.42,130320,19.5
pyrenees,N43PW002B,SRTM,md_dsm_5m_1sec_point,DSM,100.00,-53.14,55.15,-5.33,9.66,11.79,-5.32,12.94,10.51,9.15,5.33,130321,21.17
pyrenees,N43PW002C,SRTM,md_dsm_5m_1sec_point,DSM,100.00,-61.60,56.89,-4.76,9.68,11.86,-4.43,12.78,10.27,8.80,4.76,130321,21.05
pyrenees,N43PW002B,ALOS,md_dtm_2m_1sec_area,DTM,100.00,-68.79,80.68,5.73,8.09,9.82,4.78,11.37,8.90,7.08,5.73,130320,19.19
pyrenees,N43PW002C,ALOS,md_dtm_2m_1sec_area,DTM,100.00,-68.79,80.68,4.20,7.45,9.09,2.47,10.01,7.60,5.66,4.20,130320,17.21
pyrenees,N43PW002B,ALOS,md_dsm_5m_1sec_area,DSM,100.00,-70.50,79.38,-3.90,5.06,6.75,-3.90,7.80,6.07,5.04,3.90,130321,12.33
pyrenees,N43PW002C,ALOS,md_dsm_5m_1sec_area,DSM,100.00,-70.50,79.38,-5.01,4.87,6.43,-4.96,8.15,6.55,5.64,5.01,130321,13.07
pyrenees,N43PW002B,NASA,md_dtm_2m_1sec_point,DTM,100.00,-43.54,61.67,4.99,8.70,10.87,5.12,11.96,9.64,8.33,4.99,130321,19.51
pyrenees,N43PW002C,NASA,md_dtm_2m_1sec_point,DTM,100.00,-50.39,65.41,5.55,9.10,11.25,6.02,12.55,10.26,9.11,5.55,130320,20.24
pyrenees,N43PW002B,NASA,md_dsm_5m_1sec_point,DSM,100.00,-53.58,55.15,-4.64,9.67,11.80,-4.65,12.68,10.32,9.03,4.64,130321,20.67
pyrenees,N43PW002C,NASA,md_dsm_5m_1sec_point,DSM,100.00,-54.35,55.15,-3.63,9.65,11.81,-3.29,12.36,9.98,8.64,3.63,130321,20.23
pyrenees,N43PW002B,ASTER,md_dtm_2m_1sec_point,DTM,100.00,-78.71,91.41,3.56,11.86,14.95,3.14,15.37,12.12,10.08,3.56,130321,25.15
pyrenees,N43PW002C,ASTER,md_dtm_2m_1sec_point,DTM,100.00,-81.87,111.57,3.61,12.43,16.08,3.21,16.48,12.70,10.24,3.61,130320,26.64
pyrenees,N43PW002B,ASTER,md_dsm_5m_1sec_point,DSM,100.00,-78.97,78.95,-6.07,11.30,14.31,-6.20,15.55,12.38,10.47,6.07,130321,25.31
pyrenees,N43PW002C,ASTER,md_dsm_5m_1sec_point,DSM,100.00,-101.39,102.53,-5.57,11.60,15.02,-5.58,16.02,12.49,10.27,5.57,130321,25.8
pyrenees,N43PW002B,FABDEM,md_dtm_2m_1sec_point,DTM,100.00,-52.42,62.66,0.29,9.51,11.55,0.31,11.55,9.51,8.53,0.29,130321,18.77
pyrenees,N43PW002C,FABDEM,md_dtm_2m_1sec_point,DTM,100.00,-52.42,62.66,1.83,9.45,11.52,2.36,11.67,9.61,8.69,1.83,130320,18.75
pyrenees,N43PW002B,FABDEM,md_dsm_5m_1sec_point,DSM,100.00,-68.97,56.14,-9.34,11.25,13.45,-9.17,16.37,13.31,11.38,9.34,130321,27.27
pyrenees,N43PW002C,FABDEM,md_dsm_5m_1sec_point,DSM,100.00,-68.97,56.14,-7.35,10.83,13.07,-6.68,14.99,12.03,10.11,7.35,130321,25.17
