AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,RUFD_MIN,RUFD_Max,RUFD_Mean,RUFD_AVG,RUFD_STD,RUFD_MED,RUFD_RMSE,RUFD_MAE,RUFD_AB_MD,RUFD_AB_MN,RUFD_N,RUFD_LE90,SLOPE_PC
brazil,S08QW038C,FABDEM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-11.48,15.14,0.02,0.55,0.80,-0.00,0.80,0.55,0.38,0.02,110427,1.15,85.92
brazil,S08QW038C,FABDEM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-23.51,17.75,-0.62,1.78,2.65,-0.43,2.72,1.81,0.05,0.62,16656,3.84,12.96
brazil,S08QW038C,FABDEM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-60.67,102.47,-0.42,0.76,1.22,-0.36,1.29,0.83,0.58,0.42,128518,1.74,100
brazil,S08QW038C,FABDEM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-52.61,16.42,-0.39,0.61,0.84,-0.36,0.93,0.68,0.48,0.39,109909,1.45,85.52
brazil,S08QW038C,FABDEM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-60.67,102.47,-0.67,1.67,2.50,-0.54,2.58,1.73,0.07,0.67,17183,3.62,13.37
brazil,S08QW038D,COP,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-4.91,8.59,0.18,0.41,0.57,0.15,0.60,0.43,0.32,0.18,128877,0.94,100
brazil,S08QW038D,COP,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-4.76,5.10,0.18,0.41,0.55,0.15,0.58,0.43,0.31,0.18,126542,0.93,98.19
brazil,S08QW038D,COP,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-4.02,5.93,-0.16,0.91,1.26,-0.16,1.27,0.92,0.00,0.16,907,2.01,0.7
brazil,S08QW038D,COP,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-20.55,20.93,0.06,0.38,0.53,0.05,0.53,0.38,0.27,0.06,128877,0.82,100
brazil,S08QW038D,COP,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-20.55,16.04,0.06,0.37,0.51,0.05,0.51,0.37,0.27,0.06,126507,0.8,98.16
brazil,S08QW038D,COP,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-11.12,20.93,-0.20,0.91,1.28,-0.19,1.29,0.93,0.00,0.20,942,2.1,0.73
brazil,S08QW038D,SRTM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-7.52,9.91,0.55,0.71,0.93,0.58,1.08,0.86,0.74,0.55,128877,1.73,100
brazil,S08QW038D,SRTM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-5.45,6.80,0.56,0.70,0.91,0.58,1.06,0.85,0.72,0.56,126542,1.72,98.19
brazil,S08QW038D,SRTM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-7.52,7.68,-0.90,1.40,1.86,-0.87,2.06,1.57,0.00,0.90,907,3.29,0.7
brazil,S08QW038D,SRTM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-22.07,28.95,0.43,0.71,0.94,0.47,1.03,0.81,0.68,0.43,128877,1.66,100
brazil,S08QW038D,SRTM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-22.07,16.19,0.44,0.70,0.91,0.47,1.01,0.80,0.66,0.44,126507,1.64,98.16
brazil,S08QW038D,SRTM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-12.97,28.95,-0.96,1.42,1.89,-0.92,2.11,1.63,0.00,0.96,942,3.35,0.73
brazil,S08QW038D,ALOS,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_area,DTM,ALL,99.45,-4.71,11.99,0.44,0.49,0.71,0.35,0.84,0.58,0.43,0.44,128520,1.25,100
brazil,S08QW038D,ALOS,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_area,DTM,FLAT,99.45,-4.71,11.99,0.44,0.48,0.70,0.35,0.83,0.58,0.42,0.44,126566,1.24,98.48
brazil,S08QW038D,ALOS,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_area,DTM,STEEP,99.45,-2.74,6.61,0.35,0.88,1.20,0.23,1.25,0.90,0.00,0.35,883,2.1,0.69
brazil,S08QW038D,ALOS,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_area,DSM,ALL,99.45,-41.64,17.46,0.32,0.50,0.73,0.27,0.79,0.55,0.40,0.32,128520,1.19,100
brazil,S08QW038D,ALOS,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_area,DSM,FLAT,99.45,-41.64,12.83,0.32,0.49,0.72,0.27,0.78,0.55,0.39,0.32,126520,1.18,98.44
brazil,S08QW038D,ALOS,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_area,DSM,STEEP,99.45,-14.40,17.46,0.27,0.89,1.23,0.22,1.25,0.92,0.00,0.27,920,2.02,0.72
brazil,S08QW038D,NASA,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-7.94,9.83,0.47,0.71,0.93,0.51,1.04,0.83,0.70,0.47,128877,1.66,100
brazil,S08QW038D,NASA,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-5.31,6.51,0.48,0.70,0.91,0.51,1.02,0.82,0.69,0.48,126542,1.65,98.19
brazil,S08QW038D,NASA,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-7.94,7.03,-1.16,1.40,1.86,-1.05,2.19,1.67,0.00,1.16,907,3.72,0.7
brazil,S08QW038D,NASA,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-20.14,26.99,0.35,0.71,0.93,0.40,1.00,0.78,0.65,0.35,128877,1.59,100
brazil,S08QW038D,NASA,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-20.14,17.52,0.36,0.70,0.91,0.40,0.98,0.77,0.64,0.36,126507,1.57,98.16
brazil,S08QW038D,NASA,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-13.88,26.99,-1.21,1.42,1.90,-1.11,2.24,1.74,0.00,1.21,942,3.64,0.73
brazil,S08QW038D,ASTER,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-7.90,27.61,2.19,1.10,1.51,2.14,2.66,2.28,2.15,2.19,128877,3.93,100
brazil,S08QW038D,ASTER,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-6.87,27.61,2.20,1.08,1.49,2.14,2.66,2.28,2.12,2.20,126542,3.92,98.19
brazil,S08QW038D,ASTER,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-7.90,6.26,0.27,1.83,2.34,0.29,2.36,1.85,0.03,0.27,907,4.01,0.7
brazil,S08QW038D,ASTER,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-70.27,27.55,2.07,1.11,1.53,2.02,2.57,2.17,2.04,2.07,128877,3.83,100
brazil,S08QW038D,ASTER,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-70.27,27.55,2.08,1.10,1.51,2.02,2.57,2.17,2.01,2.08,126507,3.82,98.16
brazil,S08QW038D,ASTER,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-27.81,26.96,0.20,1.83,2.36,0.21,2.35,1.84,0.02,0.20,942,3.97,0.73
brazil,S08QW038D,FABDEM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-4.55,8.87,-0.04,0.49,0.66,-0.05,0.66,0.49,0.38,0.04,128877,1.06,100
brazil,S08QW038D,FABDEM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-4.12,4.55,-0.04,0.48,0.65,-0.05,0.65,0.49,0.37,0.04,126542,1.05,98.19
brazil,S08QW038D,FABDEM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-4.00,5.88,-0.20,1.00,1.33,-0.21,1.35,1.02,0.00,0.20,907,2.21,0.7
brazil,S08QW038D,FABDEM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-17.72,23.21,-0.16,0.49,0.67,-0.15,0.69,0.51,0.39,0.16,128877,1.1,100
brazil,S08QW038D,FABDEM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-17.72,16.36,-0.16,0.49,0.65,-0.15,0.67,0.50,0.38,0.16,126507,1.08,98.16
brazil,S08QW038D,FABDEM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-9.55,23.21,-0.26,1.02,1.37,-0.28,1.38,1.05,0.00,0.26,942,2.31,0.73
brazil,S24MW047C,COP,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-11.26,17.90,0.14,1.93,2.55,0.02,2.55,1.92,1.49,0.14,100222,4.14,100
brazil,S24MW047C,COP,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-9.38,14.95,0.89,1.91,2.54,0.67,2.69,1.99,0.69,0.89,50696,4.34,50.58
brazil,S24MW047C,COP,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-11.26,12.26,-0.69,1.74,2.25,-0.68,2.35,1.83,0.65,0.69,47812,3.88,47.71
brazil,S24MW047C,COP,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-74.14,70.93,-0.85,1.24,1.99,-0.70,2.16,1.39,1.00,0.85,100222,2.96,100
brazil,S24MW047C,COP,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-52.04,17.38,-0.81,1.22,1.81,-0.67,1.98,1.37,0.42,0.81,45735,3,45.63
brazil,S24MW047C,COP,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-48.39,70.93,-0.89,1.20,1.80,-0.74,2.01,1.37,0.49,0.89,52773,2.85,52.66
brazil,S24MW047C,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-14.53,16.37,-1.64,2.22,2.83,-1.49,3.27,2.55,2.04,1.64,100222,5.47,100
brazil,S24MW047C,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-13.31,10.24,-0.70,1.99,2.57,-0.57,2.67,2.04,0.95,0.70,50696,4.41,50.58
brazil,S24MW047C,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-14.53,12.46,-2.68,2.12,2.69,-2.55,3.80,3.07,0.90,2.68,47812,6.2,47.71
brazil,S24MW047C,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-76.63,69.14,-2.62,1.80,2.49,-2.45,3.61,2.85,2.51,2.62,100222,5.52,100
brazil,S24MW047C,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-45.23,17.74,-2.30,1.66,2.22,-2.12,3.20,2.54,1.18,2.30,45735,5.02,45.63
brazil,S24MW047C,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-52.36,69.14,-2.90,1.82,2.43,-2.79,3.79,3.11,1.36,2.90,52773,5.84,52.66
brazil,S24MW047C,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_area,DTM,ALL,77.42,-11.87,22.62,0.05,2.01,2.74,-0.10,2.74,2.01,1.51,0.05,100453,4.32,100
brazil,S24MW047C,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_area,DTM,FLAT,77.42,-11.80,19.87,0.77,2.01,2.79,0.49,2.90,2.05,0.70,0.77,50696,4.46,50.47
brazil,S24MW047C,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_area,DTM,STEEP,77.42,-11.87,16.99,-0.74,1.83,2.41,-0.74,2.52,1.94,0.67,0.74,48046,4.13,47.83
brazil,S24MW047C,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_area,DSM,ALL,77.42,-137.52,45.79,-0.94,1.24,2.25,-0.79,2.44,1.44,1.04,0.94,100453,3,100
brazil,S24MW047C,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_area,DSM,FLAT,77.42,-91.79,19.90,-0.97,1.18,1.87,-0.86,2.11,1.42,0.44,0.97,45666,2.98,45.46
brazil,S24MW047C,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_area,DSM,STEEP,77.42,-104.17,45.79,-0.92,1.23,2.07,-0.75,2.27,1.40,0.51,0.92,53067,2.94,52.83
brazil,S24MW047C,NASA,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-15.05,17.04,-1.91,2.22,2.83,-1.73,3.41,2.66,2.14,1.91,100222,5.69,100
brazil,S24MW047C,NASA,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-13.93,10.96,-0.99,1.98,2.56,-0.85,2.75,2.10,1.00,0.99,50696,4.55,50.58
brazil,S24MW047C,NASA,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-15.05,13.01,-2.90,2.15,2.73,-2.77,3.98,3.25,0.94,2.90,47812,6.45,47.71
brazil,S24MW047C,NASA,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-76.75,68.71,-2.87,1.82,2.52,-2.70,3.82,3.07,2.73,2.87,100222,5.81,100
brazil,S24MW047C,NASA,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-45.83,17.83,-2.59,1.67,2.23,-2.39,3.41,2.76,1.35,2.59,45735,5.35,45.63
brazil,S24MW047C,NASA,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-52.57,68.71,-3.14,1.86,2.49,-3.02,4.00,3.32,1.53,3.14,52773,6.12,52.66
brazil,S24MW047C,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-14.03,14.46,0.10,2.61,3.31,0.23,3.31,2.62,2.18,0.10,100222,5.48,100
brazil,S24MW047C,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-11.94,14.46,0.99,2.38,3.05,1.10,3.21,2.55,1.03,0.99,50696,5.3,50.58
brazil,S24MW047C,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-14.03,12.55,-0.89,2.59,3.28,-0.83,3.40,2.67,0.98,0.89,47812,5.66,47.71
brazil,S24MW047C,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-75.48,75.24,-0.88,2.44,3.24,-0.89,3.36,2.54,2.09,0.88,100222,5.26,100
brazil,S24MW047C,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-60.46,17.92,-0.54,2.31,3.01,-0.52,3.06,2.35,0.89,0.54,45735,4.92,45.63
brazil,S24MW047C,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-64.23,75.24,-1.21,2.46,3.20,-1.27,3.42,2.67,1.03,1.21,52773,5.47,52.66
brazil,S24MW047C,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-12.55,18.96,0.02,1.90,2.48,-0.03,2.48,1.90,1.51,0.02,100222,4.06,100
brazil,S24MW047C,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-11.79,16.14,0.23,1.81,2.40,0.09,2.41,1.81,0.70,0.23,50696,3.94,50.58
brazil,S24MW047C,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-12.55,13.85,-0.24,1.96,2.50,-0.20,2.51,1.97,0.66,0.24,47812,4.1,47.71
brazil,S24MW047C,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-72.77,69.57,-0.94,1.94,2.71,-0.79,2.87,2.05,1.57,0.94,100222,4.32,100
brazil,S24MW047C,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-46.80,17.85,-1.35,1.83,2.45,-1.24,2.80,2.12,0.67,1.35,45735,4.41,45.63
brazil,S24MW047C,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-50.76,69.57,-0.61,1.92,2.63,-0.41,2.70,1.95,0.77,0.61,52773,4.17,52.66
brazil,S24MW047D,COP,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-21.40,17.84,-1.98,1.98,2.63,-1.94,3.30,2.61,2.22,1.98,100706,5.22,100
brazil,S24MW047D,COP,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-16.63,10.84,-1.52,1.95,2.53,-1.55,2.95,2.35,0.42,1.52,19915,4.79,19.78
brazil,S24MW047D,COP,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-21.40,16.71,-2.14,1.96,2.59,-2.06,3.36,2.66,1.70,2.14,79083,5.3,78.53
brazil,S24MW047D,COP,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,ALL,77.56,-83.41,113.58,-0.92,1.39,2.02,-0.77,2.22,1.55,1.12,0.92,100706,3.3,100
brazil,S24MW047D,COP,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,FLAT,77.56,-83.41,16.14,-0.72,1.18,1.64,-0.66,1.79,1.31,0.22,0.72,22265,2.78,22.11
brazil,S24MW047D,COP,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,STEEP,77.56,-72.67,113.58,-1.01,1.42,2.07,-0.81,2.30,1.59,0.81,1.01,76733,3.4,76.2
brazil,S24MW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-21.87,22.41,-4.20,2.53,3.35,-4.36,5.37,4.63,4.46,4.20,100706,8.2,100
brazil,S24MW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-17.89,10.60,-4.08,2.27,2.87,-4.11,4.98,4.28,1.11,4.08,19915,7.68,19.78
brazil,S24MW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-21.87,22.41,-4.27,2.56,3.43,-4.46,5.48,4.74,3.68,4.27,79083,8.33,78.53
brazil,S24MW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,ALL,77.56,-91.68,112.12,-3.16,2.10,2.88,-3.22,4.27,3.59,3.33,3.16,100706,6.56,100
brazil,S24MW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,FLAT,77.56,-79.96,17.96,-3.24,1.73,2.22,-3.15,3.93,3.36,0.89,3.24,22265,6.06,22.11
brazil,S24MW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,STEEP,77.56,-91.68,112.12,-3.16,2.18,3.02,-3.26,4.37,3.67,2.67,3.16,76733,6.71,76.2
brazil,S24MW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_area,DTM,ALL,77.56,-17.72,18.41,-1.43,1.81,2.38,-1.45,2.78,2.20,1.86,1.43,100685,4.51,100
brazil,S24MW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_area,DTM,FLAT,77.56,-10.52,14.67,-1.16,1.78,2.32,-1.20,2.59,2.05,0.34,1.16,19998,4.28,19.86
brazil,S24MW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_area,DTM,STEEP,77.56,-17.72,14.89,-1.53,1.78,2.32,-1.54,2.78,2.21,1.41,1.53,78984,4.53,78.45
brazil,S24MW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_area,DSM,ALL,77.56,-66.19,96.78,-0.36,1.00,1.46,-0.30,1.51,1.03,0.75,0.36,100685,2.17,100
brazil,S24MW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_area,DSM,FLAT,77.56,-44.08,17.87,-0.39,0.83,1.14,-0.35,1.20,0.88,0.15,0.39,22377,1.85,22.22
brazil,S24MW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_area,DSM,STEEP,77.56,-66.19,96.78,-0.37,1.01,1.43,-0.29,1.48,1.04,0.55,0.37,76614,2.19,76.09
brazil,S24MW047D,NASA,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-19.27,62.37,-4.46,2.62,3.57,-4.62,5.71,4.88,4.71,4.46,100706,8.58,100
brazil,S24MW047D,NASA,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-18.38,9.41,-4.36,2.34,2.95,-4.39,5.27,4.54,1.17,4.36,19915,8.08,19.78
brazil,S24MW047D,NASA,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-19.27,62.37,-4.53,2.66,3.68,-4.72,5.84,4.98,3.89,4.53,79083,8.72,78.53
brazil,S24MW047D,NASA,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,ALL,77.56,-204.19,104.40,-3.42,2.17,3.09,-3.47,4.61,3.83,3.57,3.42,100706,6.91,100
brazil,S24MW047D,NASA,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,FLAT,77.56,-68.18,29.46,-3.55,1.80,2.31,-3.45,4.24,3.66,0.97,3.55,22265,6.46,22.11
brazil,S24MW047D,NASA,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,STEEP,77.56,-204.19,104.40,-3.42,2.26,3.27,-3.50,4.73,3.90,2.86,3.42,76733,7.06,76.2
brazil,S24MW047D,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-28.23,44.18,-1.85,3.35,4.48,-2.17,4.85,3.81,3.23,1.85,100706,7.57,100
brazil,S24MW047D,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-23.24,16.28,-1.82,2.99,3.80,-1.98,4.22,3.39,0.62,1.82,19915,6.85,19.78
brazil,S24MW047D,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-28.23,44.18,-1.89,3.43,4.62,-2.26,4.99,3.91,2.49,1.89,79083,7.74,78.53
