AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,SMD_MIN,SMD_Max,SMD_Mean,SMD_AVG,SMD_STD,SMD_MEDIAN,SMD_RMSE,SMD_MAE,SMD_AB_MD,SMD_AB_MN,SMD_N,SMD_LE90,SLOPE_PC
brazil,S08PW038C,COP,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,ALL,99.11,-43.50,50.49,-0.02,2.03,3.12,-0.06,3.12,2.03,1.30,0.02,127089,4.6,100
brazil,S08PW038C,COP,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,FLAT,99.11,-43.50,15.59,-0.15,1.75,2.55,-0.10,2.55,1.75,1.15,0.15,116102,3.91,91.35
brazil,S08PW038C,COP,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,STEEP,99.11,-41.53,50.49,1.37,4.81,6.45,1.19,6.60,4.91,0.10,1.37,10987,10.5,8.65
brazil,S08PW038C,COP,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,ALL,99.11,-44.84,49.44,0.35,2.20,3.27,0.21,3.29,2.21,1.49,0.35,127092,4.95,100
brazil,S08PW038C,COP,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,FLAT,99.11,-44.84,16.82,0.20,1.92,2.72,0.16,2.72,1.93,1.32,0.20,115656,4.28,91
brazil,S08PW038C,COP,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,STEEP,99.11,-41.53,49.44,1.83,4.82,6.46,1.68,6.72,5.03,0.11,1.83,11436,10.65,9
brazil,S08PW038C,SRTM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,ALL,99.11,-43.22,53.42,-0.34,2.92,4.08,-0.48,4.10,2.95,2.22,0.34,127089,6.22,100
brazil,S08PW038C,SRTM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,FLAT,99.11,-43.22,16.50,-0.61,2.58,3.41,-0.60,3.46,2.63,1.99,0.61,116102,5.54,91.35
brazil,S08PW038C,SRTM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,STEEP,99.11,-34.69,53.42,2.58,5.97,7.79,2.43,8.20,6.31,0.17,2.58,10987,13.36,8.65
brazil,S08PW038C,SRTM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,ALL,99.11,-44.55,52.70,0.04,3.07,4.22,-0.15,4.22,3.07,2.33,0.04,127092,6.46,100
brazil,S08PW038C,SRTM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,FLAT,99.11,-44.55,17.02,-0.26,2.73,3.57,-0.28,3.58,2.74,2.08,0.26,115656,5.76,91
brazil,S08PW038C,SRTM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,STEEP,99.11,-38.85,52.70,3.00,5.91,7.72,2.89,8.29,6.39,0.19,3.00,11436,13.3,9
brazil,S08PW038C,ALOS,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_area,DTM,ALL,99.11,-47.08,28.03,-0.24,1.75,2.61,-0.22,2.62,1.76,1.22,0.24,127083,3.87,100
brazil,S08PW038C,ALOS,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_area,DTM,FLAT,99.11,-47.08,15.05,-0.31,1.57,2.28,-0.24,2.30,1.58,1.09,0.31,116042,3.4,91.31
brazil,S08PW038C,ALOS,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_area,DTM,STEEP,99.11,-29.18,28.03,0.50,3.66,4.83,0.38,4.85,3.67,0.10,0.50,11041,7.94,8.69
brazil,S08PW038C,ALOS,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_area,DSM,ALL,99.11,-50.68,44.75,0.13,1.95,2.74,0.06,2.74,1.95,1.44,0.13,127092,4.17,100
brazil,S08PW038C,ALOS,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_area,DSM,FLAT,99.11,-50.68,16.07,0.06,1.81,2.50,0.03,2.50,1.81,1.29,0.06,115653,3.85,91
brazil,S08PW038C,ALOS,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_area,DSM,STEEP,99.11,-29.18,44.75,0.85,3.27,4.41,0.72,4.49,3.33,0.12,0.85,11439,7.04,9
brazil,S08PW038C,NASA,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,ALL,99.11,-42.49,51.83,-0.30,2.89,4.04,-0.49,4.05,2.92,2.20,0.30,127089,6.12,100
brazil,S08PW038C,NASA,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,FLAT,99.11,-42.49,17.86,-0.59,2.54,3.33,-0.61,3.38,2.59,1.98,0.59,116102,5.43,91.35
brazil,S08PW038C,NASA,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,STEEP,99.11,-32.79,51.83,2.73,6.01,7.82,2.60,8.29,6.39,0.17,2.73,10987,13.4,8.65
brazil,S08PW038C,NASA,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,ALL,99.11,-43.82,51.12,0.07,3.04,4.18,-0.14,4.18,3.03,2.31,0.07,127092,6.36,100
brazil,S08PW038C,NASA,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,FLAT,99.11,-43.82,17.13,-0.23,2.68,3.50,-0.28,3.50,2.69,2.06,0.23,115656,5.65,91
brazil,S08PW038C,NASA,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,STEEP,99.11,-36.95,51.12,3.16,5.93,7.73,3.11,8.35,6.48,0.19,3.16,11436,13.33,9
brazil,S08PW038C,ASTER,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,ALL,99.11,-44.93,54.40,-2.88,4.47,6.00,-2.79,6.66,5.08,4.03,2.88,127089,10.77,100
brazil,S08PW038C,ASTER,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,FLAT,99.11,-34.12,17.85,-3.38,4.07,5.23,-3.04,6.23,4.81,3.61,3.38,116102,10.19,91.35
brazil,S08PW038C,ASTER,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,STEEP,99.11,-44.93,54.40,2.33,7.64,9.85,2.46,10.12,7.89,0.31,2.33,10987,16.4,8.65
brazil,S08PW038C,ASTER,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,ALL,99.11,-45.40,53.29,-2.51,4.57,6.10,-2.45,6.60,5.03,3.97,2.51,127092,10.67,100
brazil,S08PW038C,ASTER,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,FLAT,99.11,-35.68,16.92,-3.03,4.16,5.35,-2.72,6.14,4.74,3.55,3.03,115656,10.04,91
brazil,S08PW038C,ASTER,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,STEEP,99.11,-45.40,53.29,2.71,7.55,9.73,2.86,10.10,7.91,0.32,2.71,11436,16.21,9
brazil,S08PW038C,FABDEM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,ALL,99.11,-41.92,50.76,0.72,2.00,3.09,0.54,3.18,2.06,1.31,0.72,127089,4.71,100
brazil,S08PW038C,FABDEM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,FLAT,99.11,-41.92,16.20,0.63,1.71,2.49,0.51,2.57,1.77,1.16,0.63,116102,4.01,91.35
brazil,S08PW038C,FABDEM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,STEEP,99.11,-39.17,50.76,1.74,4.97,6.65,1.38,6.87,5.11,0.09,1.74,10987,11.02,8.65
brazil,S08PW038C,FABDEM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,ALL,99.11,-43.25,48.90,1.10,2.25,3.32,0.83,3.49,2.38,1.62,1.10,127092,5.35,100
brazil,S08PW038C,FABDEM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,FLAT,99.11,-43.25,16.67,0.99,1.97,2.75,0.80,2.92,2.09,1.43,0.99,115656,4.68,91
brazil,S08PW038C,FABDEM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,STEEP,99.11,-39.17,48.90,2.21,5.00,6.68,1.92,7.03,5.25,0.12,2.21,11436,11.29,9
brazil,S08PW038D,COP,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,ALL,99.45,-60.03,69.10,0.28,4.79,7.70,-0.08,7.71,4.77,2.49,0.28,127440,12.23,100
brazil,S08PW038D,COP,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,FLAT,99.45,-56.04,17.47,-1.09,2.84,4.64,-0.42,4.76,2.79,1.26,1.09,80144,6.55,62.89
brazil,S08PW038D,COP,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,STEEP,99.45,-60.03,69.10,2.60,7.86,10.71,2.34,11.02,8.12,0.68,2.60,47296,17.6,37.11
brazil,S08PW038D,COP,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,ALL,99.45,-65.66,69.82,0.42,4.94,7.87,0.08,7.88,4.93,2.63,0.42,127440,12.5,100
brazil,S08PW038D,COP,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,FLAT,99.45,-56.14,16.65,-0.95,2.96,4.78,-0.29,4.88,2.90,1.34,0.95,79914,6.78,62.71
brazil,S08PW038D,COP,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,STEEP,99.45,-65.66,69.82,2.73,8.03,10.91,2.56,11.25,8.33,0.74,2.73,47526,18.02,37.29
brazil,S08PW038D,SRTM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,ALL,99.45,-150.70,74.04,1.04,5.64,8.48,0.00,8.55,5.54,3.40,1.04,127440,13.27,100
brazil,S08PW038D,SRTM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,FLAT,99.45,-66.47,17.66,-1.30,3.27,4.71,-0.92,4.88,3.36,1.89,1.30,80144,7.26,62.89
brazil,S08PW038D,SRTM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,STEEP,99.45,-150.70,74.04,5.01,8.36,11.45,4.54,12.50,9.24,1.07,5.01,47296,19.57,37.11
brazil,S08PW038D,SRTM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,ALL,99.45,-150.70,73.24,1.19,5.73,8.57,0.19,8.65,5.65,3.49,1.19,127440,13.47,100
brazil,S08PW038D,SRTM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,FLAT,99.45,-66.47,17.22,-1.16,3.39,4.85,-0.77,4.98,3.44,1.95,1.16,79914,7.42,62.71
brazil,S08PW038D,SRTM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,STEEP,99.45,-150.70,73.24,5.13,8.43,11.52,4.67,12.61,9.37,1.11,5.13,47526,19.77,37.29
brazil,S08PW038D,ALOS,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_area,DTM,ALL,99.45,-50.71,87.52,0.35,2.70,4.13,0.05,4.15,2.68,1.60,0.35,127449,6.51,100
brazil,S08PW038D,ALOS,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_area,DTM,FLAT,99.45,-50.71,15.55,-0.29,1.69,2.57,-0.18,2.58,1.70,0.88,0.29,80109,3.9,62.86
brazil,S08PW038D,ALOS,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_area,DTM,STEEP,99.45,-47.04,87.52,1.42,4.23,5.75,1.18,5.92,4.34,0.50,1.42,47340,9.33,37.14
brazil,S08PW038D,ALOS,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_area,DSM,ALL,99.45,-50.71,87.00,0.49,2.75,4.10,0.22,4.13,2.74,1.76,0.49,127449,6.4,100
brazil,S08PW038D,ALOS,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_area,DSM,FLAT,99.45,-50.71,17.80,-0.11,1.84,2.67,-0.03,2.67,1.83,0.98,0.11,79916,4.07,62.7
brazil,S08PW038D,ALOS,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_area,DSM,STEEP,99.45,-47.04,87.00,1.49,4.13,5.62,1.29,5.81,4.27,0.56,1.49,47533,9.09,37.3
brazil,S08PW038D,NASA,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,ALL,99.45,-140.06,80.77,1.17,5.62,8.43,0.05,8.51,5.52,3.35,1.17,127440,13.23,100
brazil,S08PW038D,NASA,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,FLAT,99.45,-61.53,16.51,-1.21,3.19,4.61,-0.89,4.77,3.28,1.88,1.21,80144,7,62.89
brazil,S08PW038D,NASA,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,STEEP,99.45,-140.06,80.77,5.20,8.36,11.40,4.74,12.52,9.31,1.06,5.20,47296,19.67,37.11
brazil,S08PW038D,NASA,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,ALL,99.45,-140.06,82.46,1.31,5.71,8.52,0.25,8.62,5.63,3.44,1.31,127440,13.5,100
brazil,S08PW038D,NASA,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,FLAT,99.45,-61.53,16.80,-1.07,3.31,4.74,-0.74,4.86,3.36,1.93,1.07,79914,7.19,62.71
brazil,S08PW038D,NASA,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,STEEP,99.45,-140.06,82.46,5.31,8.43,11.46,4.90,12.63,9.44,1.11,5.31,47526,19.89,37.29
brazil,S08PW038D,ASTER,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,ALL,99.45,-90.98,98.60,-0.46,7.34,10.46,-1.49,10.47,7.41,5.31,0.46,127440,16.26,100
brazil,S08PW038D,ASTER,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,FLAT,99.45,-81.44,17.68,-3.56,4.75,6.47,-3.05,7.39,5.42,3.08,3.56,80144,11.4,62.89
brazil,S08PW038D,ASTER,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,STEEP,99.45,-90.98,98.60,4.79,10.09,13.42,4.40,14.25,10.76,1.74,4.79,47296,22.62,37.11
brazil,S08PW038D,ASTER,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,ALL,99.45,-90.98,102.38,-0.32,7.39,10.51,-1.34,10.51,7.43,5.31,0.32,127440,16.36,100
brazil,S08PW038D,ASTER,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,FLAT,99.45,-81.44,17.76,-3.43,4.81,6.55,-2.90,7.39,5.42,3.06,3.43,79914,11.37,62.71
brazil,S08PW038D,ASTER,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,STEEP,99.45,-90.98,102.38,4.91,10.12,13.43,4.54,14.30,10.82,1.77,4.91,47526,22.78,37.29
brazil,S08PW038D,FABDEM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,ALL,99.45,-71.02,71.19,0.92,4.74,7.63,0.40,7.69,4.72,2.40,0.92,127440,12.21,100
brazil,S08PW038D,FABDEM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,FLAT,99.45,-62.17,16.80,-0.40,2.69,4.47,0.10,4.49,2.64,1.17,0.40,80144,6.39,62.89
brazil,S08PW038D,FABDEM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,STEEP,99.45,-71.02,71.19,3.17,7.88,10.73,2.79,11.19,8.25,0.63,3.17,47296,17.88,37.11
brazil,S08PW038D,FABDEM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,ALL,99.45,-76.82,77.28,1.06,4.91,7.81,0.56,7.88,4.92,2.60,1.06,127440,12.48,100
brazil,S08PW038D,FABDEM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,FLAT,99.45,-62.50,17.50,-0.27,2.86,4.64,0.22,4.65,2.82,1.31,0.27,79914,6.68,62.71
brazil,S08PW038D,FABDEM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,STEEP,99.45,-76.82,77.28,3.30,8.05,10.93,2.98,11.42,8.46,0.72,3.30,47526,18.28,37.29
brazil,S08QW038C,COP,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-59.89,102.01,0.08,2.70,4.38,-0.01,4.38,2.70,1.70,0.08,127083,5.95,100
brazil,S08QW038C,COP,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-57.40,16.06,-0.13,2.08,2.96,-0.06,2.96,2.08,1.41,0.13,110427,4.55,86.89
brazil,S08QW038C,COP,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-59.89,102.01,1.47,6.75,9.27,1.01,9.38,6.79,0.19,1.47,16656,14.38,13.11
brazil,S08QW038C,COP,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-63.26,101.72,0.41,2.86,4.44,0.24,4.46,2.86,1.89,0.41,127092,6.28,100
brazil,S08QW038C,COP,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-57.40,17.35,0.24,2.26,3.14,0.19,3.15,2.27,1.57,0.24,109909,4.95,86.48
brazil,S08QW038C,COP,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-63.26,101.72,1.54,6.57,9.00,1.26,9.13,6.65,0.22,1.54,17183,14.07,13.52
brazil,S08QW038C,SRTM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-91.75,100.64,0.15,3.41,5.13,-0.08,5.13,3.41,2.43,0.15,127083,7.08,100
brazil,S08QW038C,SRTM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-40.34,16.67,-0.23,2.73,3.57,-0.21,3.58,2.74,2.06,0.23,110427,5.75,86.89
brazil,S08QW038C,SRTM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-91.75,100.64,2.62,7.62,10.44,2.31,10.77,7.85,0.28,2.62,16656,16.23,13.11
brazil,S08QW038C,SRTM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-94.02,100.34,0.48,3.61,5.27,0.23,5.29,3.61,2.62,0.48,127092,7.58,100
brazil,S08QW038C,SRTM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-40.34,17.73,0.12,2.95,3.83,0.09,3.83,2.95,2.20,0.12,109909,6.18,86.48
brazil,S08QW038C,SRTM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-94.02,100.34,2.75,7.53,10.28,2.63,10.64,7.84,0.32,2.75,17183,16.12,13.52
brazil,S08QW038C,ALOS,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_area,DTM,ALL,99.11,-47.28,36.24,-0.20,2.06,3.00,-0.15,3.01,2.06,1.40,0.20,127092,4.69,100
brazil,S08QW038C,ALOS,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_area,DTM,FLAT,99.11,-47.28,14.40,-0.30,1.77,2.49,-0.18,2.51,1.78,1.18,0.30,110358,3.91,86.83
brazil,S08QW038C,ALOS,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_area,DTM,STEEP,99.11,-42.05,36.24,0.46,3.96,5.22,0.38,5.24,3.97,0.17,0.46,16734,8.51,13.17
brazil,S08QW038C,ALOS,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_area,DSM,ALL,99.11,-47.39,33.42,0.13,2.11,2.88,0.09,2.88,2.11,1.59,0.13,127083,4.55,100
brazil,S08QW038C,ALOS,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_area,DSM,FLAT,99.11,-47.39,14.59,0.08,1.91,2.56,0.06,2.56,1.92,1.33,0.08,109819,4.1,86.42
brazil,S08QW038C,ALOS,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_area,DSM,STEEP,99.11,-42.05,33.42,0.46,3.33,4.36,0.45,4.38,3.35,0.20,0.46,17264,7.02,13.58
brazil,S08QW038C,NASA,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-147.06,96.38,0.17,3.39,5.18,-0.09,5.18,3.38,2.41,0.17,127083,6.97,100
brazil,S08QW038C,NASA,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-34.59,16.67,-0.22,2.68,3.49,-0.22,3.50,2.69,2.03,0.22,110427,5.61,86.89
brazil,S08QW038C,NASA,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-147.06,96.38,2.76,7.69,10.79,2.46,11.14,7.96,0.29,2.76,16656,16.44,13.11
brazil,S08QW038C,NASA,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-156.27,88.92,0.51,3.58,5.32,0.24,5.34,3.58,2.59,0.51,127092,7.44,100
brazil,S08QW038C,NASA,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-35.40,16.76,0.14,2.90,3.75,0.08,3.75,2.90,2.19,0.14,109909,6.07,86.48
brazil,S08QW038C,NASA,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-156.27,88.92,2.88,7.59,10.62,2.83,11.01,7.95,0.32,2.88,17183,16.25,13.52
brazil,S08QW038C,ASTER,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-64.76,97.08,-1.49,4.53,6.39,-1.58,6.57,4.73,3.59,1.49,127083,9.95,100
brazil,S08QW038C,ASTER,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-43.21,17.42,-2.06,3.81,4.89,-1.83,5.31,4.10,3.03,2.06,110427,8.62,86.89
brazil,S08QW038C,ASTER,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-64.76,97.08,2.29,8.80,11.70,2.03,11.93,8.95,0.43,2.29,16656,18.67,13.11
brazil,S08QW038C,ASTER,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-71.74,97.27,-1.16,4.64,6.47,-1.26,6.57,4.76,3.63,1.16,127092,10,100
brazil,S08QW038C,ASTER,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-45.86,16.94,-1.71,3.94,5.05,-1.51,5.33,4.13,3.05,1.71,109909,8.68,86.48
brazil,S08QW038C,ASTER,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-71.74,97.27,2.39,8.63,11.47,2.22,11.72,8.82,0.44,2.39,17183,18.36,13.52
brazil,S08QW038C,FABDEM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-60.67,102.47,0.86,2.64,4.29,0.71,4.38,2.73,1.75,0.86,127083,5.97,100
brazil,S08QW038C,FABDEM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-52.61,16.42,0.74,2.02,2.86,0.69,2.96,2.11,1.46,0.74,110427,4.62,86.89
